correct,incorrect,premise,pos_sim,neg_sim
,"“[…]The impact on calcification, metabolism, growth, fertility and survival of calcifying marine species when pH is lowered up to 0.3 units […] is beneficial, not damaging.","The German Advisory Council on Global Change stated: In order to prevent disruption of the calcification of marine organisms and the resultant risk of fundamentally altering marine food webs, the following guard rail should be obeyed: the pH of near surface waters should not drop more than 0.2 units below the pre-industrial average value in any larger ocean region (nor in the global mean).",,0.7600772999999998
,"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",The IPCC literature assessment estimates that TCR likely lies between 1 °C and 2.5 °C.,,0.8394728
,"In Alaska, brown bears are changing their feeding habits to eat elderberries that ripen earlier.","In the Kamchatka peninsula and several parts of coastal Alaska, brown bears feed mostly on spawning salmon, whose nutrition and abundance explain the enormous size of the bears in these areas.",,0.48552388000000013
,Venus doesn't have a runaway greenhouse effect,"The planet Venus experienced runaway greenhouse effect, resulting in an atmosphere which is 96% carbon dioxide, with surface atmospheric pressure roughly the same as found 900 m (3,000 ft) underwater on Earth.",,-0.7803941
,Extreme weather isn't caused by global warming,Extreme Weather Prompts Unprecedented Global Warming Alert.,,-0.028953306000000012
,"“Today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.","The world's most important greenhouse gas is carbon dioxide, a by-product of the burning of fossil fuels.",,0.32276288
,the warming is not nearly as great as the climate change computer models have predicted.,It is a major aspect of climate change and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.,,-0.23298936000000003
,There is not a single candidate in the Republican primary that thinks we should do anything about climate change.,"Much of the Tea Party criticism focuses on his willingness to be bipartisan and work with Democrats on issues like climate change, tax reform and immigration reform and his belief that judicial nominees should not be opposed solely on their philosophical positions.",,0.28649579999999997
,"Some, however, bristle at the belief that because floods and storms have always occurred, they should not be linked to climate change”","In 2014, the Bureau of Meteorology released a report on the state of Australia's climate that highlighted several key points, including the significant increase in Australia's temperatures (particularly night-time temperatures) and the increasing frequency of bush fires, droughts and floods, which have all been linked to climate change.",,0.0706640999999999
,"Antarctic ice fluctuates wildly year to year, and the link to man-made global warming there is not clear, NASA ice expert Walt Meier said.",There is a scientific consensus linking human activities to global warming due to industrial carbon dioxide emissions.,,-0.6095085
,"“[…]The impact on calcification, metabolism, growth, fertility and survival of calcifying marine species when pH is lowered up to 0.3 units […] is beneficial, not damaging.",The effects on the calcifying organisms at the base of the food webs could potentially destroy fisheries.,,-0.15943081999999997
,"Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.","At very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.",,-0.70181894
,Ice Sheet losses are overestimated.,"The Greenland, and possibly the Antarctic, ice sheets have been losing mass recently, because losses by ablation including outlet glaciers exceed accumulation of snowfall.",,0.4276772
,"As a result, ""The warmest  year on US record is now 1934.",2013 was the warmest year ever in the contiguous United States and about one-third of all Americans experienced 10 days or more of 100-degree heat.,,0.9585142
,Sea level rise predictions are exaggerated.,"More recent research, especially into Antarctica, indicates that this is probably a conservative estimate and true long-term sea level rise might be higher.",,0.9255240600000001
,"Migration patterns show people heading for warm states like Texas and Florida, not snowy Minnesota and Michigan.”","In response to segregation, disfranchisement and agricultural depression, many African Americans migrated from Florida to northern cities in the Great Migration, in waves from 1910 to 1940, and again starting in the later 1940s.",,0.8846633399999999
,"'The UN’s Intergovernmental Panel on Climate Change misled the press and public into believing that thousands of scientists backed its claims on manmade global warming, according to Mike Hulme, a prominent climate scientist and IPCC insider.",The work of the Intergovernmental Panel on Climate Change (IPCC) represents the consensus of the international scientific community on climate change science.,,0.9320831300000001
,Marine life has nothing whatsoever to fear from ocean acidification.”,Increasing acidity is thought to have a range of potentially harmful consequences for marine organisms such as depressing metabolic rates and immune responses in some organisms and causing coral bleaching.,,-0.05106000600000005
,Individual carbon dioxide molecules have a short life time of around 5 years in the atmosphere.,The atmospheric lifetime of CO 2 is estimated of the order of 30–95 years.,,0.42061203999999996
,Excess CO2 from human emissions has a long residence time of over 100 years,"Carbon dioxide has a variable atmospheric lifetime, and cannot be specified precisely.",,-0.55292445
,"[T]he raw data, the actual thermometer data[...] shows that the US has been cooling for 80 to 90 years.","The reconstruction found significant variability around a long-term cooling trend of −0.02 °C per century, as expected from orbital forcing, interrupted in the 20th century by rapid warming which stood out from the whole period, with the 1990s ""the warmest decade, and 1998 the warmest year, at moderately high levels of confidence"".",,0.9000842600000001
,Tuvalu sea level isn't rising.,Tuvaluan leaders have been concerned about the effects of rising sea levels.,,-0.34593368
,Less than half of published scientists endorse global warming,Scientists Reach 100% Consensus on Anthropogenic Global Warming.,,-0.23887630999999998
,"In our lifetime, there has been no correlation between carbon dioxide emissions and temperature","In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",,-0.6229844
,'Our harmless emissions of trifling quantities of carbon dioxide cannot possibly acidify the oceans.,"""Marine calcifiers exhibit mixed responses to CO 2-induced ocean acidification"".",,0.0713124650000001
,"there has been no increase in frequency or intensity of storms, floods or droughts, while deaths attributed to such natural disasters have never been fewer","Combined with sea level rise, this stratification into more extreme seasons and climates increases the frequency and severity of storm surge, floods, landslides, and droughts.",,-0.388722
,"When all forcings are combined, they show good correlation to global temperature throughout the 20th century including the mid-century cooling period.",There is still a very poor understanding of the correlation between low sunspot activity and cooling temperatures.,,0.1631184400000001
,Renewable energy investment kills jobs,Renewable power has been more effective in creating jobs than coal or oil in the United States.,,-0.09760827000000005
,"“It’s far too early to tell if what we are seeing in the Arctic, and now the Antarctic, is a sharp shift towards warmer poles with less ice.","Surface temperature increases are greatest in the Arctic, which has contributed to the retreat of glaciers, permafrost, and sea ice.",,0.11284968000000006
,"“Recent computer forecasts suggest that if greenhouse gas emissions continue at a high level, parts of Antarctica could break up rapidly, causing the ocean to rise six feet or more by the end of this century.","Over the 21st century, the IPCC projects that in a very high emissions scenario the sea level could rise by 61–110 cm.",,0.73817927
,Humans are too insignificant to affect global climate.,Humans have had a dramatic effect on the environment.,,-0.5993717000000001
,"Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase.","According the Vermont state government, rainfall has significantly increased in the last 50 years, storms and flooding have increased, and winters have become warmer and shorter.",,0.5042205
,The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.,"In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",,0.8534697
,Renewables can't provide baseload power,"This less valuable ""spare"" electricity comes from uncontrolled wind power and base load power plants such as coal, nuclear and geothermal, which still produce power at night even though demand is very low.",,0.23551290000000003
,"Climate skeptics argue temperature records have been adjusted in recent years to make the past appear cooler and the present warmer, although the Carbon Brief showed that NOAA has actually made the past warmer, evening out the difference.","It concluded, ""The weight of current multi-proxy evidence, therefore, suggests greater 20th-century warmth, in comparison with temperature levels of the previous 400 years, than was shown in the TAR.",,0.716488
,The amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.,"Energy is usually harvested onsite through energy producing technologies like solar and wind, while reducing the overall use of energy with highly efficient lightning and heating, ventilation and air conditioning (HVAC) technologies.",,0.9259674
,"“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.","A 2017 Politico article states that increased CO 2 levels may have a negative impact on the nutritional quality of various human food crops, by increasing the levels of carbohydrates, such as glucose, while decreasing the levels of important nutrients such as protein, iron, and zinc.",,-0.07368249400000004
,New Study Confirms EVs Considerably Worse For Climate Than Diesel Cars.,"""EEA report confirms: electric cars are better for climate and air quality"".",,-0.46441226999999996
,Greenland has only lost a tiny fraction of its ice mass.,"Findings show that Greenland has lost 3.8 trillion tonnes of ice since 1992, enough to raise sea levels by almost 11mm (1.06cm).",,0.19870542999999996
,Climate change need not endanger anyone”,"Given the potential threat to marine ecosystems and its ensuing impact on human society and economy, especially as it acts in conjunction with anthropogenic global warming, there is an urgent need for immediate action.""",,-0.7943932000000002
,"while it’s true that studies in some regions show polar bears are lighter in weight than they were in the 1980s, there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice.","They still manage to consume some seals, but they are food-deprived in summer as only marine mammal carcasses are an important alternative without sea ice, especially carcasses of the beluga whale.",,0.8677235999999999
,Sea level rise is decelerating.,"Over the 21st century, this is expected to rise, with glaciers contributing 7 to 24 cm (3 to 9 in) to global sea levels.",,0.2724173999999999
,The long-term correlation between CO2 and temperature is well established.,Correlation of CO 2 and temperature is not part of this evidence.,,-0.19197619
,97% consensus on human-caused global warming has been disproven.,"97% of the scientists surveyed agreed that global temperatures had increased during the past 100 years; 84% said they personally believed human-induced warming was occurring, and 74% agreed that ""currently available scientific evidence"" substantiated its occurrence.",,0.20615753999999997
,"‘Next year or the year after, the Arctic will be free of ice’",Reports have also predicted that within a few decades the Arctic Ocean will be entirely free of ice in the summer.,,0.2654261600000001
,"Over the three years from 1979 to 1982 when CO2 emissions were decreasing due to the rapid increase in the price of oil that drastically reduced consumption, there was no change in the rate of increase in atmospheric concentration of CO2 proving that humans were not the primary source for the increase in concentration.'",Combustion of fossil fuels and deforestation have caused the atmospheric concentration of carbon dioxide to increase by about 43% since the beginning of the age of industrialization.,,-0.7096333500000003
,"The cement, iron and steel, and petroleum refining industries could see their production cut by 21% 19%, and 11% respectively.”","By the first half of 2016, only 10 vehicles were manufactured per day in Venezuela with production dropping 86%.",,-0.8205322000000002
,Excess CO2 from human emissions has a long residence time of over 100 years,The atmospheric lifetime of CO 2 is estimated of the order of 30–95 years.,,0.48361096000000003
,Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present.,"(BBC) 4 April A new, detailed record of past climate change has shown compelling evidence that the last ice age was ended by a rise in temperature driven by an increase in atmospheric carbon dioxide.",,0.81255955
,"It “certainly puts the kibosh on everyone saying that Antarctica’s ice is just going up and up,” Meier said.",found instead that the net change in ice mass is slightly positive at approximately 82 gigatonnes per year (with significant regional variation) which would result in Antarctic activity reducing global sea-level rise by 0.23 mm per year.,,0.23319398000000002
,"Arctic summer sea ice has shrunk by an area equal to Western Australia, and might be all gone in a decade.",About half of the analyzed models show near-complete to complete sea ice loss in September by the year 2100.,,0.7637054999999999
,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","While ‘climate change’ can be due to natural forces or human activity, there is now substantial evidence to indicate that human activity – and specifically increased greenhouse gas (GHGs) emissions – is a key factor in the pace and extent of global temperature increases.",,0.44142815000000013
,Human CO2 is a tiny fraction of CO2 emissions.,Land use change (mainly deforestation in the tropics) account for up to one third of total anthropogenic CO 2 emissions.,,0.60292196
,"'Antarctic sea ice set a new record in October 2007, as photographs distributed by the National Oceanic and Atmospheric Administration showed penguins and other cold-weather creatures able to stand farther north on Southern Hemisphere sea ice than has ever been recorded.","The extent of sea ice around Antarctica (in terms of square kilometers of coverage) has remained roughly constant in recent decades, although the amount of variation it has experienced in its thickness is unclear.",,0.6220634999999999
,Renewable energy investment kills jobs,"Globally there are an estimated 7.7 million jobs associated with the renewable energy industries, with solar photovoltaics being the largest renewable employer.",,-0.21487933000000004
,"“So the bottom line of all this is that climate change is natural, not man-made.","The clear message from fingerprint studies is that the observed warming over the last half-century cannot be explained by natural factors, and is instead caused primarily by human factors.",,0.9279629599999999
,The 30 most costly hurricanes in U.S. history (according to federal data from January) show no increase in intensity over time.,"After spending a week without significantly strengthening itself in the central Atlantic, it rapidly intensified into a powerful Category 5 hurricane while moving westward towards the Bahamas on August 23.",,0.85879135
,"U.S. Pays $1 Billion into Green Climate Fund, Top Polluters Pay Nothing","So far, the Green Climate Fund has now received over $10 billion in pledges.",,-0.6029409
,"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",Most of the climatic warming over the last 50 years is likely to have been caused by increased concentrations of greenhouse gases in the atmosphere.,,0.7040915000000001
,"The argument that solving the global warming problem by reducing human greenhouse gas emissions is ""too hard"" generally stems from the belief that (i) our technology is not sufficiently advanced to achieve significant emissions reductions,","For example, bicycling reduces greenhouse gas emissions while reducing the effects of a sedentary lifestyle at the same time.",,0.6203829000000001
,Heat waves have been decreasing since the 1930s in the U.S. and globally.,"Massive heat waves across North America were persistent in the 1930s, many mid-Atlantic/Ohio valley states recorded their highest temperatures during July 1934.",,-0.16726023
,"The minute increase of anthropogenic CO2 in the atmosphere (0.008%) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.""",Human-caused increases in greenhouse gases are responsible for most of the observed global average surface warming of roughly 0.8 °C (1.5 °F) over the past 140 years.,,0.7533758000000002
,"His best estimate is that the  warming in response to a doubling of CO2 concentration, which may happen  this century unless the usual suspects get away with shutting down the  economies of the West, will be a harmless 1 Fahrenheit degree, not the 6  F predicted by the IPCC.""","In his first paper on the matter, he estimated that global temperature would rise by around 5 to 6 °C (9.0 to 10.8 °F) if the quantity of CO 2 was doubled.",,-0.24972870999999996
,Extreme weather isn't caused by global warming,"The effects of global warming include rising sea levels, regional changes in precipitation, more frequent extreme weather events such as heat waves, and expansion of deserts.",,-0.22404990000000002
,Phil Jones says no global warming since 1995.,"The Framework Convention was agreed on in 1992, but global emissions have risen since then.",,-0.7604337
,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2","This acceleration is due mostly to human-caused global warming, which is driving thermal expansion of seawater and the melting of land-based ice sheets and glaciers.",,-0.8612214300000001
,Renewable energy investment kills jobs,A key benefit that this investment growth brings is a growth in jobs.,,-0.5961538
,Tuvalu sea level isn't rising,Mean sea-level rise is projected to continue (very high confidence).,,-0.42858392
,A fast transition away from fossil fuels in the next few decades could be enough to put off rapid sea-level rise for centuries.,Sea level rise will continue over many centuries.,,0.7244565000000001
,Man-made greenhouse gases play only an insignificant role.”,"Atmospheric concentrations of anthropogenic (i.e., human-emitted) greenhouse gases have increased substantially.",,-0.7861256
,there is no relationship between temperature and carbon dioxide emissions by Â­humans[...],"A consensus, based on current evidence, now exists within the global scientific community that human activities are the main source of climate change and that the burning of fossil fuels is largely responsible for driving this change...",,-0.7121460400000001
,"A longer and warmer growing season also has an effect, Dr. Overpeck said, as plants take up more water, further reducing stream flows.","Increased temperatures and altered hydrological cycles are predicted to translate to shorter growing seasons, overall reduced biomass production, and lower grain yields.",,0.7103221400000002
,Climate change isn't increasing extreme weather damage costs,"For example, humans living on atoll islands face risks due to sea level rise, sea surface warming, and increased frequency and intensity of extreme weather events.",,0.10204031999999996
,This means the global temperature trend has now shown no further warming for 19 years,"Since the start of the 20th century, the global mean surface temperature of the Earth has increased by more than 0.7°C and the rate of warming has been largest in the last 30 years.",,-0.32513517000000003
,"(2005), where satellite altimetry  established that the mean thickness of the entire Greenland ice sheet  had increased at 2 inches per year – a total of almost 2 feet – in the  11 years 1993-2003.”","This network was used, in combination with satellite altimeter data, to establish that global mean sea-level rose 19.5 cm (7.7 in) between 1870 and 2004 at an average rate of about 1.44 mm/yr (1.7 mm/yr during the 20th century).",,0.59579
,There's no empirical evidence for climate change.,"... there is a strong, credible body of evidence, based on multiple lines of research, documenting that climate is changing and that these changes are in large part caused by human activities.",,-0.72124374
,"In reality, gas produced by fracking is worse for the climate than coal.","In this new report, the EPA concluded that shale gas emits larger amounts of methane, a potent greenhouse gas, than does conventional gas, but still far less than coal.",,0.8807961
,Renewable energy investment kills jobs.,"Some 2.3 million people have found renewable energy jobs in recent years, and projected investments of $630 billion by 2030 would translate into at least 20 million additional jobs.",,-0.3120631300000002
,"(In technical lingo, the so-called social cost of carbon would be negative.)”",Several administrative advisers have stated that the social cost should be reduced to zero (currently at $36 per ton of carbon dioxide).,,0.81828856
,Man-made greenhouse gases play only an insignificant role.”,"The largest human influence has been the emission of greenhouse gases such as carbon dioxide, methane, and nitrous oxide.",,0.10757147500000008
,"As a result, ""The warmest  year on US record is now 1934.","In 2012, the United States experienced its warmest year on record.",,0.97837317
,Tuvalu sea level isn't rising.,Tuvalu is also affected by perigean spring tide events which raise the sea level higher than a normal high tide.,,-0.33426785000000003
,Scientists retracted claim that sea levels are rising.,Sea level rise will continue over many centuries.,,-0.40127334000000003
,"'The UN’s Intergovernmental Panel on Climate Change misled the press and public into believing that thousands of scientists backed its claims on manmade global warming, according to Mike Hulme, a prominent climate scientist and IPCC insider.","There is widespread support for the IPCC in the scientific community, which is reflected in publications by other scientific bodies and experts.",,0.9451526400000001
,"Claims have recently surfaced in the blogosphere that an increasing number of scientists are warning of an imminent global cooling, some even going so far as to call it a ""growing consensus"".","In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",,0.8141627
,the models predicted seven times as much warming as has been observed,The model predicted <0.2 °C warming for upper air at 700 mb and 500 mb.,,0.8715426
,"Thanks to a rapid rebound in recent months, global sea ice levels now equal those seen 29 years ago, when the year 1979 also drew to a close.","This post-glacial rebound, which proceeds very slowly after the melting of the ice sheet or glacier, is currently occurring in measurable amounts in Scandinavia and the Great Lakes region of North America.",,0.6400562000000001
,There is no empirical evidence that increasing greenhouse gases are the primary cause of Global Warming,There is a scientific consensus that climate is changing and that greenhouse gases emitted by human activities are the primary driver.,,-0.354264
,Weather and climate are different; climate predictions do not need weather detail.,A humid continental climate is marked by variable weather patterns and a large seasonal temperature variance.,,-0.18385240000000003
,Sea level rise is not going to happen.,This could mean rapid sea level rise of up to 19 mm (0.75 in) per year by the end of the century.,,-0.41656820000000006
,Nor is there evidence of an increase in floods globally.,With the increase in temperatures worldwide due to climate change the increase in flooding is unavoidable.,,0.3087588000000001
,“Carbon dioxide hurts nobody’s health.,There are few studies of the health effects of long-term continuous CO 2 exposure on humans and animals at levels below 1%.,,-0.6385892600000003
,"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined.","In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",,0.09269053999999999
,"Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""","The Miami Herald wrote that Curbelo has ""attempted to position himself as the national voice for Republicans who are concerned about climate change,"" describing him as ""one of the few GOP voices speaking out against Donald Trump's decision to withdraw from the Paris Climate Agreement and his desire to dismantle the Environmental Protection Agency.""",,0.2743690299999999
,"Rather than 100 years of unprecedented global warming as predicted by  IPCC, the global temperatures have leveled off and we seem to be heading  for cooler weather.""","Currently, surface temperatures are rising by about 0.2 °C per decade.",,0.1659600699999999
,"Renew­ables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.","Fossil-fueled power plants, which wind turbines generally require to make up for their weather dependent intermittency, kill almost 20 times as many birds per gigawatt hour (GWh) of electricity according to Sovacool.",,0.7699213600000001
,"The Petition Project features over 31,000 scientists signing the petition stating ""there is no convincing scientific evidence that human release of carbon dioxide will, in the forseeable future, cause catastrophic heating of the Earth's atmosphere"".","Human activities, primarily the burning of fossil fuels (coal, oil, and natural gas), and secondarily the clearing of land, have increased the concentration of carbon dioxide, methane, and other heat-trapping (""greenhouse"") gases in the atmosphere...There is international scientific consensus that most of the warming observed over the last 50 years is attributable to human activities.",,0.5571950700000001
,“Carbon dioxide hurts nobody’s health.,"When inhaled, these particles can settle in the lungs and respiratory tract and cause health problems.",,-0.5749977
,Less than half of published scientists endorse global warming.,"76 out of 79 climatologists who ""listed climate science as their area of expertise and who also have published more than 50% of their recent peer-reviewed papers on the subject of climate change"" believed that mean global temperatures had risen compared to pre-1800s levels.",,-0.008663853000000055
