premise,correct,incorrect,pos_neg_sim,pos_sim,neg_sim,difference,sentence_mode,embedding_details,distance_metric,original_index
['there are a few people walking on the white sand Young children flying a kite at the beach. A portrait of a kite flown on beach A snow field outside of a ski resort.'],"['People walk on the beach, with a hut in the distance.']",['a basket of broccoli carrots and some califlower'],0.9074543714523315,0.9569528102874756,0.9312251806259155,0.02572762966156006,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,12
['A stack of pancakes that are sitting on a plate. A pile of pancakes sitting on a plate of food. some pancakes are stacked up on a plate A plate of pancakes sitting on a plate on a table.'],['A stack of pancakes on a white plate on a table'],['Men and women cross country skiing in snow.'],0.7185800075531006,0.9851675033569336,0.7310311198234558,0.2541363835334778,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,13
"[""Medical students are looking at the monitor to check their patient's condition, while their associates wait in anticipation. Many hospital technitians gather as some work on equipment. There are doctors performing an operation with instruments A man in scrubs looking at a computer.""]",['A team of medical staff using equipment in a hospital.'],['A black and white cat laying on a white comforter on a bed.'],0.9001102447509766,0.9307504296302795,0.8906300067901611,0.04012042284011841,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,14
['A fire hydrant is in the dark by a sidewalk. a fire hydrant near a walking path near trees Night time scene of pathway in snowy area. A fogged residential and forest street scenic with sidewalk.'],['A path next to a street in winter.'],['A cat stares at a dog on TV. '],0.9215259552001953,0.9605371356010437,0.927539050579071,0.032998085021972656,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,15
"[""A random plane in the sky flying alone An airplane flying high in the blue sky.  A silver color jet flying through the clear sky. An airplane with the letters 'MT' on it, flying in the sky.""]",['A very large plane is flying through the sky.'],['A man is holding a back ready to swing as another man squats behind him to catch the ball.'],0.9089158177375793,0.9161021709442139,0.9151681065559387,0.0009340643882751465,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,16
"['numerous signs attached to a post with bald trees behind them a metal pole with street signs hanging from it  Various street signs such as parking and no parking as well as a stop sign is attached to a telephone pole. A stop sign with a sticker that says ""DRIVING"" on it.']","[""A stop sign with another message than it's true one.""]",['The insect is flying around on the porch.'],0.8326846361160278,0.9355494976043701,0.897475004196167,0.038074493408203125,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,17
['A black cat laying down on a bed. A black and white cat sitting on a bed. Cat lying on white comforter near stuffed yellow duck toy. A cute black cat laying on a big bed.'],['A black and white cat laying on a white comforter on a bed.'],['A kitchen that has a checkered pattern floor.'],0.8881670236587524,0.976813554763794,0.8648767471313477,0.11193680763244629,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,18
['A man standing on a surfboard with a paddle. A man is on the water on a surfboard. A man on a surfboard with a paddle in his hand. The man standing on the surfboard is holding a paddle.'],['A man with a boat paddle standing on a boat.'],['The stainless steel refrigerator is being moved into the newly constructed home.'],0.813606858253479,0.9660606980323792,0.870213508605957,0.09584718942642212,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,19
['A pizza with thick crust sitting on a table. A delicious cooked pizza is set on a brown table.  A thick crusted pizza just taken out of the oven A small cheesy pizza is displayed on a cutting board.'],['The personal size pizza has cheese and pineapple toppings.'],['A train travels underneath a very old bridge.'],0.7227193117141724,0.8111279010772705,0.8734502792358398,-0.062322378158569336,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,20
['A cat wearing a sweater and glasses under a book shelf. a cat in a red shirt is wearing some glasses The cat under the table wears glasses and a sweater. A cat is sitting under a shelf wearing a pair of glasses. '],['A cat wearing a sweater and a pair of glasses'],['A man riding a skateboard through a forest.'],0.9236648082733154,0.9761807918548584,0.931207001209259,0.044973790645599365,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,21
['The baby lamb is standing on green grass. A small lamb standing in a green pasture.  a small sheep in a field of grass  A single sheep standing in a grass field.'],['A baby lamb is standing alone in grass'],['A baseball batter trying to hit a baseball.'],0.8687546253204346,0.9497246742248535,0.9211470484733582,0.02857762575149536,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,22
['A man on a surfboard riding a wave in swimming trunks.  a man that is on a surfboard in some water A person on a surfboard in the water. a surfer rides his surfboard along a wave crashing behind him'],['A man riding a surfboard on top of a wave.'],['The zebras are in the fence with other animals.'],0.8766314387321472,0.979426383972168,0.9085507392883301,0.07087564468383789,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,23
['A person wiping out on a snowboard on the ground. A man on a snowboard walls in the snow there is a snowboarder that has fallen in the snow a snowboarding moving down a hill laughing '],['A snowboarder is on the ground and laughing in the snow.'],['A woman in her house with a bowl. '],0.9318059682846069,0.9709081053733826,0.962809681892395,0.008098423480987549,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,24
['a black and white cats walking in the living room A large living room with a cat on the rug  A black and white cat standing in the living room. A black and white cat is standing in the living room.'],['A cat is walking on a rug in a living room'],['An up close photo of a motorcycle tire. '],0.8884628415107727,0.9485995769500732,0.8821046352386475,0.06649494171142578,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,25
"['A kitten on a bed in a blanket and a hand holding an electric toothbrush.  A hand holding a toothbrush is near a cat on a bed. A person holding an electric tooth brush next to a cat sleeping on a bed. A person under a blanket, with a cat laying next to him/her, and holding a toothbrush ']",['A person is holding his toothbrush next to a sleeping cat.'],['San Francisco Giants pitcher standing on the mound looking at a runner on base and an umpire'],0.9013584852218628,0.9698131084442139,0.925700306892395,0.04411280155181885,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,26
['A man riding a paddle board in the middle of a lake. a man standing on a surfboard in the middle of a large body of water Long shot of person surfing with a stick in ocean. The man wades through the calm waters on a surfboard.'],['A person stands on a board in a body of water and holds a stick.'],['The healthy meal is ready to be eaten on the plate.'],0.8984533548355103,0.9824841022491455,0.927010715007782,0.055473387241363525,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,27
['A black and white cat stares downward at a window. a black and white kitty sitting on a ledge looking out a window  A black and white cat sits on a windowsill. a cat sitting on a window sil looking out of the window'],['A black and white cat sitting in a window sill.'],['A young boy dragging a shovel across the beach'],0.8977465629577637,0.9761874675750732,0.9271302223205566,0.0490572452545166,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,28
"[""A brown and white hamster in hand with broccoli. A hampster sitting on someone's hand with a piece of green leaf. A  very cute little rodent with some broccoli. A hamster is in the palm of someone's hand with broccoli.""]",['A small furry animal is being held next to a piece of broccoli.'],['A picture of a cat lying inside a dry sink'],0.9112560749053955,0.9502383470535278,0.9103844165802002,0.03985393047332764,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,29
['a number of people sitting at tables in a train A large group of people sitting at tables. A train with some people sitting at tables People are at dining tables on a train.'],['Guests enjoy meals along the sides of an ornate train.'],['A pizza with lots of toppings sits ready to be eaten.'],0.8261183500289917,0.8414961099624634,0.9151041507720947,-0.07360804080963135,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,30
['A woman holding an umbrella while walking in the rain. A woman walking through the rain with an umbrella A woman is walking down the street with an umbrella in tow. a person walking in the rain holding an open umbrella'],['Lady walking on sidewalk in the rain with an umbrella over her head.'],['A MAN SITTING DOWN AT A TABLE EATING SOMETHING'],0.8117890357971191,0.961627721786499,0.868870735168457,0.09275698661804199,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,31
['A yellow and a green motorcycle in the back of an auditorium. there are two motorcycles that are parked behind seats A pair of yellow and green motorcylces with flame designs running down them. two motorcycles line up as they lean against some seats '],['a yellow motorcycle and a green motorcycle behind some chairs'],['A dog sitting on the living room sofa looking bored.'],0.8114732503890991,0.8796292543411255,0.8806265592575073,-0.000997304916381836,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,32
"['Two men in yellow shirts in a Frisbee competition. Man manipulating a frisbee at a demonstration, with lots of onlookers. Two men standing together and one has a frisbee in his hand while people watch.  Two people playing Frisbee are being watched by a group of people.']",['Two men playing a game of frisbee while an audience watches.'],['A cat stares at a dog on TV. '],0.8601531982421875,0.9511861801147461,0.9209091663360596,0.030277013778686523,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,33
"[""A brown, white and black cat looking at a laptop. A cat is watching a picture on a laptop computer.  A cat staring at the screensaver on a laptop. A cat watching a laptop computer screen's screensaver.""]",['A cat looking at a white laptop on a bed. '],['A man flying into the air while riding a skateboard.'],0.9092127680778503,0.9869307279586792,0.923276424407959,0.06365430355072021,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,34
['A couple stands with small hatchets poised above a cake.  a man and woman raise axes over their wedding cake A man standing next to a woman holding up hatchets. A bride and groom getting ready to cut their cake. '],['a bride and groom hold up small axes in front of a wedding cake'],['A person sitting at a table with a pizza on a plate.'],0.924962043762207,0.9433784484863281,0.926776647567749,0.0166018009185791,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,35
['A street light with many signs on it stands to the foreground of a large building standing beside a naked tree.   A stoplight with street signs on it  A pole has street signs and traffic lights on it. The traffic and walk signals are at C and 3 Streets'],['There is an image of an outdoor area. \n\n'],['n open refrigerator door exposing all the food inside'],0.6829222440719604,0.8689473271369934,0.7498757839202881,0.11907154321670532,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,36
"['Breakfast for four with omelets, fried eggs, bacon, ham, french toast and pancakes. The breakfast is done and ready to eat.  This is a picture of what looks like to be a delicious breakfast. Breakfasts at a restaurant include omelets, pancakes, toast, bacon, scrambles, and french toast.']",['People are sitting at a table eating breakfast.'],['two signs each point in different and seperate directions '],0.7783800959587097,0.8954029083251953,0.8614355325698853,0.03396737575531006,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,37
"[""A dog laying on it's back among pillows and blankets. A dog curled up sleeping on a bed with pillows A sleeping dog nestled between blanket and pillow. A dog sleeping on a couch in a funny position.""]",['A dog takes a nap on some very snugly blankets.  '],['A pole holding various street signs in from of a building.'],0.906944751739502,0.9626973867416382,0.9341788291931152,0.02851855754852295,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,38
['A man flying through the air while riding a snowboard. A man on his ski board is high in the air.  A person doing riding a snowboard in front of a crowd there are many people gathered here in the snow'],['A man in the air on a snow board at a snowboarding event.'],['The man is sitting on top of the elephant.'],0.9269808530807495,0.9822281002998352,0.9469305276870728,0.03529757261276245,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,39
['A passenger train traveling through a tunnel covered with a forest. a train traveling  past a signal light into a dark tunnel. A train is entering a historical tunnel covered topped with greenery. A passenger train heading into a tunnel. '],['A train is entering a tunnel under a bridge.'],['A plate of pizza slice on a table ready to be eaten.'],0.9125706553459167,0.969692587852478,0.9034558534622192,0.06623673439025879,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,40
['a close up of a person holding a tiny cat being fed with a bottle A small kitten is being bottle fed milk A baby animal that is getting fed some milk. The kitten drinks from the bottle that the person is holding.'],['A baby kitten is being feed milk from a bottle.'],['Two children looking over a  large birthday cake'],0.8124809861183167,0.965338408946991,0.8313935399055481,0.13394486904144287,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,41
['A bunch of flags fly in the sky on a field.  Signs and other things at a festival near a monument. A crowded group of various flags and kites. A field full of flags under a blue sky.'],['A lot of flags are posted up in a field for celebration.'],['One cat lies on a red blanket and is looking at another one.'],0.9001432061195374,0.966124951839447,0.9190497398376465,0.04707521200180054,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,42
"['a person eating a slice of pizza, on a table. a person sitting at a table in front of some pizza  Person sitting in front of a pizza plate in the middle of restaurant.  a pan with some pizza on it next to a man eating a diffent person']",['A plate of pizza slice on a table ready to be eaten.'],['Two children on a beach flying a yellow kite.'],0.9059147834777832,0.973549485206604,0.9191213846206665,0.0544281005859375,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,43
['Five cows graze in front of a two store white building. Cows grazing in a green field in front of a building. five cows grazing in front of a hotel.  The cows are eating grass in front of the building.'],['A group of cows grazing outside of a building'],['The action in a baseball game is in full swing.'],0.9150917530059814,0.9588276147842407,0.9610930681228638,-0.002265453338623047,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,44
['A white and grey train car with graffiti on it. A train evangelized with colorful graffiti still on train tracks. a train with colorful graffiti painted it  A train covered in graffiti sits on train tracks. '],['A train with colorful graffiti on it '],['a man sitting in a stadium seat eating a hot dog'],0.8642378449440002,0.97265625,0.8788908123970032,0.09376543760299683,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,45
['a man with a plate of pizza and drink in hand A man is drinking iced tea in front of a pizza. A man enjoying a cool beverage and a flat bread pizza A wooden table topped with a white plate with a  pizza.'],['A person sitting at a table with a pizza on a plate.'],['A group of four people are riding a ski lift as they ride over the snowy mountain.'],0.912700355052948,0.9711765050888062,0.932845950126648,0.0383305549621582,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,46
['Two NYPD motorcycles parked along a city street. Two police motorcycles are parked outside a brick building. Two NYPD motorcycles are parked in front of a building. Two NYPD motorcycles are parked at the curb.'],['Two NYPD motorcycles parked on the street in front of a brick building.'],"['A living room with an open door, a chair, and a television.']",0.9041334390640259,0.9434149265289307,0.9153368473052979,0.028078079223632812,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,47
['A cat standing in front of a TV showing a dog in a  cage. A cat looks at a dog on television A cat looks at a dog that is on tv. A cat is looking at a television displaying a dog in a cage.'],['A cat stares at a dog on TV. '],['A freight train moving along the tracks in a train yard.'],0.8840633034706116,0.9803640246391296,0.9155574440956116,0.06480658054351807,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,48
['A large room is decorated for winter holidays and features a rustic clock tower. some snow decorations and a clock on a steeple  A Christmas theme is put on display indoors A clock sitting in the center of a building.'],['A shopping center decorated for Christmas with snowflakes and clock tower.'],['A cat hiding behind a bunch of boxes next to a laptop.'],0.8384889364242554,0.9217376112937927,0.9477161169052124,-0.025978505611419678,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,49
['The bus and the car are driving down the street. A bus and a car wait at a stop light on a steep hill. Bus and car coming down a steep city street. A big hill on a city street with a big yellow bus and a silver car.'],['a yellow and blue bus buildings cars and trees'],['The action in a baseball game is in full swing.'],0.6676663160324097,0.8323749899864197,0.9041928648948669,-0.07181787490844727,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,50
['People that are walking with skateboards in hand.  Group of people holding various bags walking down a path. four people walking onto the beach with some bags  A group of people carrying skateboards to a ramp park.'],"['A group of young people walking into a park, some of them carrying skateboards.']",['the black bears are fighting in the water'],0.8915156722068787,0.9720972776412964,0.9231663346290588,0.04893094301223755,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,51
['A man surfs a wave in the water.  A man that is on a surfboard standing in the water. a young man surfing on a board inside the water Surfer riding small breaking wave in open water.'],['Surfer catching a wave breaking into white water.'],['A herd of elephants eating from a grove of trees.'],0.686928927898407,0.8119978308677673,0.9165316820144653,-0.104533851146698,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,52
"[""The contents of a bag placed out on a blanket. a scarf on a deck with personal items and a cell phone The contents of someone's pockets laid out on a scarf A cloth sheet with various hiking and and travel gear items on it.""]",['Various pieces of survival gear spread on a piece of fabric. '],['a cat laying on a television with its leg hanging over the edge'],0.8909991979598999,0.9333251118659973,0.9670462608337402,-0.03372114896774292,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,53
"['A woman in tennis whites is facing forward and clasping a racquet on a tennis court,  while a man in street clothes is standing at the back of the court, looking off to the side. a tennis player with a racket on the field  A tennis player is on a tennis court and is getting ready to hit the ball with her racquet. Woman prepares to be served to in a tennis match.']",['a woman holding a tennis racket gets ready to return the serve '],['Baked pizza displayed on serving platter for consumption.'],0.6811118125915527,0.9506351351737976,0.7502105832099915,0.20042455196380615,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,54
['A woman sharing a meal of cheese pizza with a friend at a cafe A slice of cheese pizza laying on a paper plate at a restaurant and a woman eating a slice of pizza on a blue tray in front. A woman sitting in a restaurant with a slice of pizza in her hand.  A tray with a piece of pizza on it while a woman sits across the table eating. '],['a table that has a very large piece of pizza on it'],['a yellow light is next to some train tracks'],0.9038610458374023,0.9565263390541077,0.8805411458015442,0.07598519325256348,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,55
"['An antique living room with elegant looking furniture. The rooms in the house are empty of people. A view of a living room couch, windows, and mirror. A living area with a couch and dresser.']",['A beautiful Victorian living room as seen through double french doors.'],['A group of people standing around each other holding umbrellas.'],0.8330689668655396,0.8616342544555664,0.9275210499763489,-0.06588679552078247,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,56
['A bird flying between to stop lights in the evening. A sea gull flying over two traffic lights by the ocean. The bird is flying above the red lights on the beach. Two different red lights on poles on opposite sides of a street.'],['A couple of red traffic lights by a beach and a kite.'],"['An old, run down city bus sits parked, with rust.']",0.7052037119865417,0.9443178176879883,0.7676142454147339,0.1767035722732544,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,57
['A clock tower rises above the Port of San Francisco building. A lit up clock tower in San Francisco. A big Ben on top of a building in the city.   Well lit skyscrapers and a clock tower in the evening.'],['Clock tower at the Port of San Francisco. lit against the night sky.'],['The personal size pizza has cheese and pineapple toppings.'],0.831177830696106,0.9484723210334778,0.8228555917739868,0.12561672925949097,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,58
['a little boy is on the beach sitting on a board The little boy is sitting on the surfboard on the beach by the water. A little kid sitting on top of a surfboard on a beach. A very cute small kid sitting on a surf board.'],['a toddler sitting at the end of a surfboard on the beach '],['Two cows laying in the grass under a tree.'],0.9380514025688171,0.9753518104553223,0.9347438812255859,0.04060792922973633,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,59
['A thing is in the outline and it shows up like something \n A pizza that is sitting on a table. a pizza with meat and red peppers and Parmesan cheese A type of pizza made at home sitting on a counter top.'],['A raw pizza with red peppers and cheese is on the counter.'],['A person does a trick on their snowboard on a mountain'],0.902266263961792,0.9707370400428772,0.9470064043998718,0.02373063564300537,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,60
['A herd of giraffe standing next to each other eating. A group of zebras are bending down and eating a box full of grass.  A group of zebras grazing from crates with trees around. Zebras gather to drink from a water trough in their compound.'],['A group of zebras eating together at a trough '],['A man in a yellow uniform swinging a bat.'],0.9204081296920776,0.9603981375694275,0.9079945087432861,0.05240362882614136,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,61
['A man in apink shirt passing an old shop in a market A compact asian street with local shops.  An Asian street scene with vehicles and people. A person walks down a busy corner in a Chinese town'],['A few people are walking on an Asian street filled with markets.'],['a basket of broccoli carrots and some califlower'],0.85554438829422,0.9381862878799438,0.9038962125778198,0.03429007530212402,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,62
['Several men running while one man running towards a frisbee.  A bunch of guys playing in a field with a disc. A beginning toss off in an ultimate frisbee game A man throwing the disc during a game of Ultimate Frisbee.'],['A group of guys that are running and playing frisbee.'],['A plate that has a pizza on it.'],0.9121582508087158,0.9471344351768494,0.9373927116394043,0.009741723537445068,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,63
"[""a cat is standing inside of a bathroom sink The cat is getting a drink from the faucet. A cat licks it's nose as it stands in front of a bathroom sink. A cat that is sitting near a sink.""]",['a brown and white cat on top of a sink'],['A large red chair has a horse statue on it.'],0.9176258444786072,0.9530599117279053,0.9101861715316772,0.04287374019622803,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,64
['The two gentlemen are talking with each other. A lot of people that are talking to each other. A photo of several people in suit and tie holding umbrellas. A group of people standing around holding umbrellas.'],['a group of people stand on the beach talking '],['A man is yelling into a mobile device in a room.'],0.912423849105835,0.9650999903678894,0.9179635047912598,0.04713648557662964,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,65
['A pizza is being cut into on a sheet. A small pizza being cut with a pizza cutter. Someone is cutting pizza on top of their stove. Someone is just about to cut the pizza.'],['Someone who is cutting a cooked pizza with a pizza cutter.'],['The man is dressed in a shirt and tie posing for a photo. '],0.9071668386459351,0.9501060247421265,0.9409583806991577,0.00914764404296875,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,66
['A street sign showing what roads go which ways. A street sign on a bridge in an asian language.  a japanese street sign on a bridge with a sky background A chinese city sign at a traffic light on an overhang.'],['A blue sign posted on an overpass that people walk across'],['The cows are grazing on the grass in the field. '],0.8366485834121704,0.9400899410247803,0.8773545026779175,0.06273543834686279,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,67
['The cat with a damaged eye sits on a pair of shoes. A cat lying next to a black shoe. a cat in brown and white lying near a shoe A small cat laying on top of a black shoe.'],['a cat laying next to a shoe on the ground'],['A passenger train travels under a building near a station platform.'],0.8805155158042908,0.9743772149085999,0.9027724266052246,0.07160478830337524,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,68
"['A person cutting a pizza next to a salad and bottles of wine on wooden table. A hand is slicing a pizza on a table. A man cuts a pizza to serve with salad and wine.  A homemade pizza, salad and two glasses of wine on a table.']","['A slice of pizza, greens, two wine glasses with two bottles on the table ']",['Different fixtures hang from the wall which boast a green dart board.'],0.8785006403923035,0.950839638710022,0.8927026987075806,0.058136940002441406,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity,69
