premise,correct,incorrect,pos_neg_sim,pos_sim,neg_sim,difference,sentence_mode,embedding_details,distance_metric
"['It was the second-coolest year of the 21st century to date, and tied with the second-warmest year of the 20th century.']",[],['’Extremely remarkable’ 2017 heads toward record for hottest year without an El Niño episode.'],,,0.7232102751731873,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Between 1993 and 2018, thermal expansion of the oceans contributed 42% to sea level rise; the melting of temperate glaciers, 21%; Greenland, 15%; and Antarctica, 8%.']",[],"['No warming since at least 1995, no melting glaciers and now no rising sea levels.']",,,0.7992659211158752,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['The effects of global warming in the Arctic include rising temperatures, loss of sea ice, and melting of the Greenland ice sheet.']",[],['Measurements indicating that 2017 had relatively more sea ice in the Arctic and less melting of glacial ice in Greenland casts scientific doubt on the reality of global warming.'],,,0.9680268168449402,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Each satellite provides three transmission beams that can support 50 channels each, carrying news, music, entertainment, and education, and including a computer multimedia service.']",[],['Satellite transmissions are extremely small and irrelevant.'],,,0.8045955896377563,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['However, U.S. civilian nuclear power is considerably more expensive than wind power.']",[],['[Wind energy] is a more expensive way of producing energy than the alternative.'],,,0.8502789735794067,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In 2008, countries with a Kyoto cap made up less than one-third of annual global carbon dioxide emissions from fuel combustion.']",[],['Global human emissions are only 3 per cent of total annual emissions.'],,,0.872535228729248,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.']",[],['CERN CLOUD experiment proved cosmic rays are causing global warming.'],,,0.3537376821041107,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['(2009) found that the evidence showed that connections between solar variation and climate were more likely to be mediated by direct variation of insolation rather than cosmic rays, and concluded: ""Hence within our assumptions, the effect of varying solar activity, either by direct solar irradiance or by varying cosmic ray rates, must be less than 0.07 °C since 1956, i.e.']",[],['“Several of the papers note that the primary influence on warming appears to be solar activity.'],,,0.9284447431564331,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Climate change also increases droughts and heat waves that inhibit plant growth, which makes it uncertain whether this balancing feedback will persist in the future.']",[],['There is no statistical evidence that global warming is intensifying[…] droughts'],,,0.855989933013916,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""How do we know more CO2 is causing warming?"".']",[],"['Carbon dioxide is not ""a primary contributor to the global warming that we see.""']",,,0.7618658542633057,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""Evidence is now \'unequivocal\' that humans are causing global warming\xa0– UN report"".']",[],"['In no way, shape, or form are humans warming or cooling the planet.']",,,0.8340710401535034,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The loss in Southern Alps total ice volume from 1976–2014 is 34\xa0percent of the total.'],[],['The report suggests significantly smaller overall  ice-mass losses than previous estimates.'],,,0.7006752490997314,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['After the elder Snart insults him and his mother, calling them weak, Cold punches him, but finds himself unable to kill him, instead getting Heat Wave to do it.']",[],['cold kills many more people than heat.'],,,0.7866600155830383,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['It is also predicted that Greenland will become warm enough by 2100 to begin an almost complete melt during the next 1,000 years or more.']",[],"['[T]he study indicates “Greenland’s ice may be less susceptible to the massive meltdown predicted by computer models of climate change, the main author ... said in an interview. ...']",,,0.9435999393463135,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['The German Advisory Council on Global Change stated: In order to prevent disruption of the calcification of marine organisms and the resultant risk of fundamentally altering marine food webs, the following guard rail should be obeyed: the pH of near surface waters should not drop more than 0.2 units below the pre-industrial average value in any larger ocean region (nor in the global mean).']",[],"['“[…]The impact on calcification, metabolism, growth, fertility and survival of calcifying marine species when pH is lowered up to 0.3 units […] is beneficial, not damaging.']",,,0.9482148885726929,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The IPCC literature assessment estimates that TCR likely lies between 1\xa0°C and 2.5\xa0°C.'],[],"['In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.']",,,0.8881455063819885,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In the Kamchatka peninsula and several parts of coastal Alaska, brown bears feed mostly on spawning salmon, whose nutrition and abundance explain the enormous size of the bears in these areas.']",[],"['In Alaska, brown bears are changing their feeding habits to eat elderberries that ripen earlier.']",,,0.8932301998138428,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['The planet Venus experienced runaway greenhouse effect, resulting in an atmosphere which is 96% carbon dioxide, with surface atmospheric pressure roughly the same as found 900\xa0m (3,000\xa0ft) underwater on Earth.']",[],"[""Venus doesn't have a runaway greenhouse effect""]",,,0.7697874307632446,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Extreme Weather Prompts Unprecedented Global Warming Alert.'],[],"[""Extreme weather isn't caused by global warming""]",,,0.6505931615829468,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"[""The world's most important greenhouse gas is carbon dioxide, a by-product of the burning of fossil fuels.""]",[],"['“Today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.']",,,0.9635623693466187,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['It is a major aspect of climate change and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.'],[],['the warming is not nearly as great as the climate change computer models have predicted.'],,,0.9465475678443909,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Much of the Tea Party criticism focuses on his willingness to be bipartisan and work with Democrats on issues like climate change, tax reform and immigration reform and his belief that judicial nominees should not be opposed solely on their philosophical positions.']",[],['There is not a single candidate in the Republican primary that thinks we should do anything about climate change.'],,,0.9375638961791992,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"[""In 2014, the Bureau of Meteorology released a report on the state of Australia's climate that highlighted several key points, including the significant increase in Australia's temperatures (particularly night-time temperatures) and the increasing frequency of bush fires, droughts and floods, which have all been linked to climate change.""]",[],"['Some, however, bristle at the belief that because floods and storms have always occurred, they should not be linked to climate change”']",,,0.9156115055084229,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['There is a scientific consensus linking human activities to global warming due to industrial carbon dioxide emissions.'],[],"['Antarctic ice fluctuates wildly year to year, and the link to man-made global warming there is not clear, NASA ice expert Walt Meier said.']",,,0.919758677482605,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The effects on the calcifying organisms at the base of the food webs could potentially destroy fisheries.'],[],"['“[…]The impact on calcification, metabolism, growth, fertility and survival of calcifying marine species when pH is lowered up to 0.3 units […] is beneficial, not damaging.']",,,0.9135249853134155,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['At very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.']",[],"['Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.']",,,0.9253597259521484,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['The Greenland, and possibly the Antarctic, ice sheets have been losing mass recently, because losses by ablation including outlet glaciers exceed accumulation of snowfall.']",[],['Ice Sheet losses are overestimated.'],,,0.6746010184288025,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['2013 was the warmest year ever in the contiguous United States and about one-third of all Americans experienced 10 days or more of 100-degree heat.'],[],"['As a result, ""The warmest  year on US record is now 1934.']",,,0.9567692279815674,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['More recent research, especially into Antarctica, indicates that this is probably a conservative estimate and true long-term sea level rise might be higher.']",[],['Sea level rise predictions are exaggerated.'],,,0.7880041599273682,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In response to segregation, disfranchisement and agricultural depression, many African Americans migrated from Florida to northern cities in the Great Migration, in waves from 1910 to 1940, and again starting in the later 1940s.']",[],"['Migration patterns show people heading for warm states like Texas and Florida, not snowy Minnesota and Michigan.”']",,,0.8654772043228149,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The work of the Intergovernmental Panel on Climate Change (IPCC) represents the consensus of the international scientific community on climate change science.'],[],"[""'The UN’s Intergovernmental Panel on Climate Change misled the press and public into believing that thousands of scientists backed its claims on manmade global warming, according to Mike Hulme, a prominent climate scientist and IPCC insider.""]",,,0.9621906876564026,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Increasing acidity is thought to have a range of potentially harmful consequences for marine organisms such as depressing metabolic rates and immune responses in some organisms and causing coral bleaching.'],[],['Marine life has nothing whatsoever to fear from ocean acidification.”'],,,0.8754154443740845,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The atmospheric lifetime of CO 2 is estimated of the order of 30–95 years.'],[],['Individual carbon dioxide molecules have a short life time of around 5 years in the atmosphere.'],,,0.9369449019432068,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Carbon dioxide has a variable atmospheric lifetime, and cannot be specified precisely.']",[],['Excess CO2 from human emissions has a long residence time of over 100 years'],,,0.8830859661102295,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['The reconstruction found significant variability around a long-term cooling trend of −0.02\xa0°C per century, as expected from orbital forcing, interrupted in the 20th century by rapid warming which stood out from the whole period, with the 1990s ""the warmest decade, and 1998 the warmest year, at moderately high levels of confidence"".']",[],"['[T]he raw data, the actual thermometer data[...] shows that the US has been cooling for 80 to 90 years.']",,,0.9599713087081909,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Tuvaluan leaders have been concerned about the effects of rising sea levels.'],[],"[""Tuvalu sea level isn't rising.""]",,,0.4752284288406372,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Scientists Reach 100% Consensus on Anthropogenic Global Warming.'],[],['Less than half of published scientists endorse global warming'],,,0.7482343912124634,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.']",[],"['In our lifetime, there has been no correlation between carbon dioxide emissions and temperature']",,,0.8635832071304321,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""Marine calcifiers exhibit mixed responses to CO 2-induced ocean acidification"".']",[],"[""'Our harmless emissions of trifling quantities of carbon dioxide cannot possibly acidify the oceans.""]",,,0.620259165763855,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Combined with sea level rise, this stratification into more extreme seasons and climates increases the frequency and severity of storm surge, floods, landslides, and droughts.']",[],"['there has been no increase in frequency or intensity of storms, floods or droughts, while deaths attributed to such natural disasters have never been fewer']",,,0.8831735849380493,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['There is still a very poor understanding of the correlation between low sunspot activity and cooling temperatures.'],[],"['When all forcings are combined, they show good correlation to global temperature throughout the 20th century including the mid-century cooling period.']",,,0.9345484972000122,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Renewable power has been more effective in creating jobs than coal or oil in the United States.'],[],['Renewable energy investment kills jobs'],,,0.14301341772079468,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Surface temperature increases are greatest in the Arctic, which has contributed to the retreat of glaciers, permafrost, and sea ice.']",[],"['“It’s far too early to tell if what we are seeing in the Arctic, and now the Antarctic, is a sharp shift towards warmer poles with less ice.']",,,0.9533859491348267,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Over the 21st century, the IPCC projects that in a very high emissions scenario the sea level could rise by 61–110\xa0cm.']",[],"['“Recent computer forecasts suggest that if greenhouse gas emissions continue at a high level, parts of Antarctica could break up rapidly, causing the ocean to rise six feet or more by the end of this century.']",,,0.9648520946502686,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Humans have had a dramatic effect on the environment.'],[],['Humans are too insignificant to affect global climate.'],,,0.7057465314865112,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['According the Vermont state government, rainfall has significantly increased in the last 50 years, storms and flooding have increased, and winters have become warmer and shorter.']",[],"['Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase.']",,,0.9379692077636719,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.']",[],['The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.'],,,0.9585989713668823,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['This less valuable ""spare"" electricity comes from uncontrolled wind power and base load power plants such as coal, nuclear and geothermal, which still produce power at night even though demand is very low.']",[],"[""Renewables can't provide baseload power""]",,,0.5405439734458923,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['It concluded, ""The weight of current multi-proxy evidence, therefore, suggests greater 20th-century warmth, in comparison with temperature levels of the previous 400 years, than was shown in the TAR.']",[],"['Climate skeptics argue temperature records have been adjusted in recent years to make the past appear cooler and the present warmer, although the Carbon Brief showed that NOAA has actually made the past warmer, evening out the difference.']",,,0.9540364742279053,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Energy is usually harvested onsite through energy producing technologies like solar and wind, while reducing the overall use of energy with highly efficient lightning and heating, ventilation and air conditioning (HVAC) technologies.']",[],['The amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.'],,,0.9105439782142639,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['A 2017 Politico article states that increased CO 2 levels may have a negative impact on the nutritional quality of various human food crops, by increasing the levels of carbohydrates, such as glucose, while decreasing the levels of important nutrients such as protein, iron, and zinc.']",[],"['“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.']",,,0.9245205521583557,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['""EEA report confirms: electric cars are better for climate and air quality"".']",[],['New Study Confirms EVs Considerably Worse For Climate Than Diesel Cars.'],,,0.861034631729126,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Findings show that Greenland has lost 3.8 trillion tonnes of ice since 1992, enough to raise sea levels by almost 11mm (1.06cm).']",[],['Greenland has only lost a tiny fraction of its ice mass.'],,,0.9146093130111694,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Given the potential threat to marine ecosystems and its ensuing impact on human society and economy, especially as it acts in conjunction with anthropogenic global warming, there is an urgent need for immediate action.""']",[],['Climate change need not endanger anyone”'],,,0.6181356906890869,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['They still manage to consume some seals, but they are food-deprived in summer as only marine mammal carcasses are an important alternative without sea ice, especially carcasses of the beluga whale.']",[],"['while it’s true that studies in some regions show polar bears are lighter in weight than they were in the 1980s, there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice.']",,,0.9725011587142944,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['Over the 21st century, this is expected to rise, with glaciers contributing 7 to 24\xa0cm (3 to 9\xa0in) to global sea levels.']",[],['Sea level rise is decelerating.'],,,0.8024061918258667,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Correlation of CO 2 and temperature is not part of this evidence.'],[],['The long-term correlation between CO2 and temperature is well established.'],,,0.9310786128044128,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['97% of the scientists surveyed agreed that global temperatures had increased during the past 100 years; 84% said they personally believed human-induced warming was occurring, and 74% agreed that ""currently available scientific evidence"" substantiated its occurrence.']",[],['97% consensus on human-caused global warming has been disproven.'],,,0.800724983215332,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Reports have also predicted that within a few decades the Arctic Ocean will be entirely free of ice in the summer.'],[],"['‘Next year or the year after, the Arctic will be free of ice’']",,,0.9707540273666382,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['Combustion of fossil fuels and deforestation have caused the atmospheric concentration of carbon dioxide to increase by about 43% since the beginning of the age of industrialization.'],[],"[""Over the three years from 1979 to 1982 when CO2 emissions were decreasing due to the rapid increase in the price of oil that drastically reduced consumption, there was no change in the rate of increase in atmospheric concentration of CO2 proving that humans were not the primary source for the increase in concentration.'""]",,,0.9712552428245544,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['By the first half of 2016, only 10 vehicles were manufactured per day in Venezuela with production dropping 86%.']",[],"['The cement, iron and steel, and petroleum refining industries could see their production cut by 21% 19%, and 11% respectively.”']",,,0.8859051465988159,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
['The atmospheric lifetime of CO 2 is estimated of the order of 30–95 years.'],[],['Excess CO2 from human emissions has a long residence time of over 100 years'],,,0.8944407105445862,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
"['(BBC) 4 April A new, detailed record of past climate change has shown compelling evidence that the last ice age was ended by a rise in temperature driven by an increase in atmospheric carbon dioxide.']",[],['Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present.'],,,0.9529199004173279,,fixed_single,snpmi_remove_stop_words = False_1Mlines_q_1_signed_1,cosine_similarity
