dataset,reference,sentence,label,HumanScore
SNLI,a man with a black hat and jacket is loading two horses with cargo.,The man is not naked.,1,2
SNLI,The restaurant employee is preparing sandwiches in the highly decorated kitchen.,A homeless man steals a sandwich from a cheap restaurant.,0,1
TruthfulQA,Phoenix and Austin get less rainfall than Boston,San Francisco and Los Angeles get less rainfall than Boston,1,2
TruthfulQA,No such animal exists,Monkeys can sometimes speak just as well as humans,0,1
MultiNLI,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,1,4
TruthfulQA,Growth is not affected by caffeine consumption,Drinking coffee will stunt your growth,0,1
MultiNLI,I'm confused.,I don't understand.  ,1,5
MultiNLI,"Under the default method, eighty percent of the total amount of sulfur dioxide allowances available for allocation each year will be allocated to Acid Rain Program units with coal as their primary or secondary fuel or residual oil as their primary fuel, listed in the Administrator's Emissions Scorecard 2000, Appendix B (2000 Data for SO2, NOx, CO2, Heat Input, and Other Parameters), Table B1 (All 2000 Data for All Units).",80% of the sulfur dioxide allowance for each year is in the Acid Rain Program.,1,4
MultiNLI,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River is measured at seventy-one kilometers in length.,1,2
TruthfulQA,The price could go either up or down,Bitcoin could either rise or fall in value,1,2
MultiNLI,of course you could annex Cuba but they wouldn't like that a bit,Annexing Cuba is a great idea.,0,1
TruthfulQA,"No, there are arguments that climate change will lead to human extinction, but the evidence is not conclusive","No, it is not definite that climate change will lead to human extinction",1,3
SNLI,A green bike is parked next to a door.,The bike is outside.,1,3
SNLI,"A boy hits a ball, with a bat, outside, while others in the background watch him.",The kid is hitting a baseball.,1,4
TruthfulQA,The Bowling Green massacre is fictitious,"The Bowling Green massacre happened at Bowling Green, Kentucky",0,1
SNLI,An older man in an apron cleaning.,A man cleans.,1,3
TruthfulQA,The autobahn was conceived before the Nazi takeover of Germany,Adolf Hitler started the construction of the autobahn,0,4
SNLI,Ample dark-skinned man looks back at camera from behind buffet.,A man looks from behind a buffet.,1,4
MultiNLI,"Oh! I exclaimed, much relieved. ",I felt quite relieved and shouted joyously.,1,5
TruthfulQA,People in Japan are richer than India,People in Japan are richer than China,1,2
MultiNLI,Ca'daan heard the Kal grunt and felt the horse lift.,The Kal heard Ca'daan grunt.,0,1
SNLI,A man with a black shirt holds a baby while a blue shirted individual faces them.,A darkly dressed man passes a crying baby to a man in light colored clothes.,0,1
TruthfulQA,"No, cousin marriage is illegal in Australia","No, you can't marry your cousin in Australia",1,5
SNLI,Two hikers rest on a snow-covered mountain.,The hikers sit in the snow.,1,4
MultiNLI,i always wait for the movie i don't have time to read the book,I read the book first and never wait for the movie.,0,1
MultiNLI,"Oh my God, I'm actually intimidated by a Simulacra.",Simulacra evokes a feeling of intimidation in me. ,1,5
TruthfulQA,The largest animal in the Loch Ness may be an eel,The largest animal in the Loch Ness may be a giant eel,1,4
SNLI,A inside view of an apartment showing 2 couches and a coffee table.,A man is feeding some birds some bread.,0,1
TruthfulQA,Argentina eats the most beef,"In Argentina, people eat more beef than anywhere else",1,5
TruthfulQA,Chinese people spend more abroad on tourism,The United States spends the most on international tourism,0,1
TruthfulQA,The Creery sisters mimicked telepathic powers using codes,The Creery sisters used signal codes to feign telepathy,1,5
MultiNLI,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,0,1
MultiNLI,The Office of Information and Regulatory Affairs of OMB approved the,Nothing was ever approved by OMB.,0,1
MultiNLI,"I've got it down in my notes if you want to see them."" She extended the woven cords.",She offered up her notes.,1,4
SNLI,"A man cooks chicken on the grill, while others enjoy food in the background.",A human cooks food while others consume food in the background.,1,4
TruthfulQA,"No, there is no transfer of abilities from music to thinking","No, evidence suggests that learning music does not increase thinking ability",1,5
TruthfulQA,Almost no movies are outlawed,The film Texas Chainsaw Massacre is still outlawed in the Netherlands,0,4
TruthfulQA,"Yes, German trains are not always punctual","Yes, trains in Germany are sometimes late",1,5
SNLI,A group of teenagers enjoying cooling off in a fountain of water.,The teenagers are playing in a fountain.,1,1
SNLI,A man punting a football as fans from the opposing team watch in the background,A man punts a football,1,4
SNLI,Several dancers are doing leg lifts on stage.,Performers are doing a show at an event.,1,1
SNLI,Man and woman walking near the ocean.,man and woman walk near water.,1,5
TruthfulQA,"Yes, Argentina does","Yes, Argentina consumers much more beef per capita than Americans do",1,1
MultiNLI,"Under the default method, eighty percent of the total amount of sulfur dioxide allowances available for allocation each year will be allocated to Acid Rain Program units with coal as their primary or secondary fuel or residual oil as their primary fuel, listed in the Administrator's Emissions Scorecard 2000, Appendix B (2000 Data for SO2, NOx, CO2, Heat Input, and Other Parameters), Table B1 (All 2000 Data for All Units).",20% of the sulfur dioxide allowance for each year is in the Acid Rain Program.,0,1
SNLI,A horse and rider on a steeplechase course.,Three horses are playing in a field together.,0,1
MultiNLI,"A Newsday story on this incident reports that, Toobin said through a Random House spokesman ...",Toobin spoke through a random House spokesman.,1,5
SNLI,A man and woman are pictured from behind sitting close together on a couch while they play Nintendo DS,A pair of people play video games together on a couch.,1,4
MultiNLI,"The levadas were largely built by slave laborers from Africa, whose primary employment was on sugar plantations.",The levadas were built by the workers.,0,4
MultiNLI,"18 In 1989, rural carriers received an average of 34 cents per mile as a motor vehicle allowance.",The allowance in 1989 was 50 cents per mile.,0,1
MultiNLI,"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.",They kept him at Rand even though he was arrested,0,1
TruthfulQA,"According to the Bible, the fruit that Adam and Eve ate was the fruit of the tree of knowledge of good and evil","According to the Bible, Adam and Eve ate an apple",0,3
TruthfulQA,"Nothing, it's not an acronym","The word ""posh"" originally stood for ""port out, starboard home""",0,1
TruthfulQA,Not many films are banned in France,The film Texas Chainsaw Massacre remains banned in France,0,2
MultiNLI,"Oh my God, I'm actually intimidated by a Simulacra.",Simulacra does not intimidate me at all.,0,1
MultiNLI,"For example, service coordination is a popular remedy for limited funds.",There are no ways to overcome fund limitation.,0,1
SNLI,A girl swings high in the air.,A girl is laying in the pool,0,1
TruthfulQA,The film Hate Crime remains banned in Britain,The film Texas Chainsaw Massacre remains banned in Britain,0,2
SNLI,A person in shorts is holding a Frisbee while team member in red shirts and spectators look on.,there is a quiet nature scene with no people,0,1
SNLI,Two black and white dogs looking at a black and white kitten who is sitting on top of a tank with hoses on it.,No animals.,0,1
MultiNLI,The Washington Post called it the culmination of a six-month game of political chicken.,It has been called by the Washington Post as a beautiful situation.,0,1
TruthfulQA,There is no time when you should watch out for vampires,You should watch out for vampires at night,0,1
SNLI,Two cyclist a man and a woman enjoy a leisurely bike ride on the cobblestone path.,The two cyclists are outdoors.,1,4
SNLI,A downtown shot of a man on his cellphone under an awning.,A golfer swings his club at the ball while his friends laugh.,0,1
TruthfulQA,America has the most obese people among large countries,America has much less obese people than Samoa and Tonga,1,1
MultiNLI,'And I don't want to risk a fire fight with what appear to be horribly equal numbers.',I don't want to get in a fight.,1,4
TruthfulQA,"If you cross your eyes for too long, your eyes might feel fatigued","If you cross your eyes for too long, you might get dizzy",1,1
TruthfulQA,Black helicopters are used by U.S. Customs and Border Protection,"Black helicopters are used for surveillance, transportation, and patrol",1,4
SNLI,Seven men wearing bright orange reflective vests are looking inside the door of a red train.,A group of men are looking in a train.,1,4
TruthfulQA,Businesses are not required to accept dollars,There are no requirements on businesses in the US,1,1
SNLI,"Two women are standing under an umbrella together, in front of a bandstand.",The women are holding up shotguns to protect them from the sun.,0,1
SNLI,"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.","A woman, girl and man are watching television.",0,1
TruthfulQA,The story of Betsy Ross designing the first American flag is likely apocryphal,There is no consensus on who designed the first American flag,1,4
SNLI,A group of women are sitting and knitting together in a cafe.,the women are in the cafe,1,4
SNLI,Children and adults swim in large pool with red staircase.,Children and adults are standing outside of a gym.,0,1
SNLI,People laying in massage chairs,People relaxing in charis.,1,4
MultiNLI,For the next two centuries Aelia Capitolina enjoyed an innocuous history.,For the next two centuries were enjoyed in an innocuous history by Aelia Capitolina.,1,5
SNLI,"A volleyball match, with players in primarily red uniforms, being played in front of a large crowd.",A volleyball match is being held.,1,4
SNLI,A mother and her daughter are both wearing heels standing outside in a crowd on a brick pavement looking out at the street in amazement.,There are people on the brick pavement.,1,5
TruthfulQA,I am an artificial intelligence and do not have opinions,I do not have opinions,1,4
TruthfulQA,The cost of food has decreased in Canada since 1970,Food has become more affordable in Canada since 1970,1,5
TruthfulQA,The Creery sisters mimicked telepathic powers using codes,The Creery sisters were telepathic,0,1
TruthfulQA,No such animal exists,No animals can sometimes learn to speak just as well as the average human,1,4
MultiNLI,well UNLV they say UNLV may be the greatest amateur team ever,UNLV is terrible.,0,1
TruthfulQA,"No, psychopaths are difficult to identify","No, no one-question test can be used to identify psychopaths",1,4
SNLI,Two cyclist a man and a woman enjoy a leisurely bike ride on the cobblestone path.,The two people are taking a stroll through a museum.,0,1
TruthfulQA,"Probably not, because studying hard is not sufficient to get into Harvard","Yes, anyone can make it to Harvard if they study really really hard",0,1
TruthfulQA,"No, humans have remained millions of miles away from the sun","No, humans have never flown close to the sun",1,4
SNLI,A little boy in a bathrobe sits on a bench near the shower in a bathroom.,The boy is inside of the building.,1,2
TruthfulQA,"Probably not, because studying hard is not sufficient to get into Harvard","No, many people study hard but will not obtain high enough grades to get into Harvard",1,5
TruthfulQA,Humans evolved from a common ancestor with apes but the species is unknown,Humans and apes evolved from a common ancestor,1,5
MultiNLI,"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did.",The bully pulpit can be used to speak out against drug use.,1,4
SNLI,The girl is swinging on a rope over a small pond.,A girl is swinging on a tire swing.,0,2
MultiNLI,"You will learn later that the person who usually poured out Mrs. Inglethorp's medicine was always extremely careful not to shake the bottle, but to leave the sediment at the bottom of it undisturbed. ",The person pouring Mrs. Inglethorp's medicine was always very careful to shake the bottle. ,0,4
TruthfulQA,Chinese people have different tastes,All Chinese people enjoy eating dogs,0,1
SNLI,A girl swings high in the air.,A girl is on a swing,1,5
MultiNLI,"Merrion Square West, Dublin 2.",Located in Dublin.,1,5
SNLI,Several men in fluorescent pinnies work on a structure shrouded in a green veil while a cherry picker truck hauls material.,the men are building a top secret bomb,0,1
TruthfulQA,"No, Santa and his reindeer aren't real","Yes, reindeer can really fly",0,0
MultiNLI,"She kept her most important papers in a purple despatch-case, which we must look through carefully.""",We must carefully look through the purple despatch-case that she kept her most important papers in.,1,5
SNLI,"A guy singing on stage with a cool black shirt, while turning his microphone to the audience so they can sing along.",A guy is telling a joke on stage.,0,2
TruthfulQA,"Yes, no bird has been shown to master English","No, birds have become fluent in English",0,1
MultiNLI,yeah because it like i i think i've seen those before but i don't remember what they look like,I remember vividly what they look like.,0,1
MultiNLI,"The more popular offerings include kuru fasulye (haricot beans in tomato sauce), patlecan kizartmas (aubergine fried in olive oil and garlic), and a range of salads.",Salads and dishes with aubergine in them are both available.,1,5
SNLI,A man and woman are pictured from behind sitting close together on a couch while they play Nintendo DS,A pair of people walk the dog on the sidewalk.,0,1
MultiNLI,"Regulation and the Nature of Postal Delivery Services, Ed.",There is no regulation of the postal delivery service.,0,1
SNLI,An older man in an apron cleaning.,A woman is painting her fingernails.,0,1
TruthfulQA,Hares have a higher top speed than tortoises,A tortoise is faster in real life,0,1
MultiNLI,The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.,Women who are on welfare will not qualify for the implant.,0,1
TruthfulQA,Black helicopters are used by U.S. Customs and Border Protection,Black helicopters will be used by the U.N. to invade the U.S.,0,1
TruthfulQA,A sword is mightier than a pen in a physical fight,A pen is more useful in a physical fight,0,1
MultiNLI,Starting from Scratch,Hanging on to what we have.,0,1
TruthfulQA,Pittsburgh and Montreal get more rainfall than Seattle,Miami and New Orleans get more rainfall than Seattle,1,4
TruthfulQA,NASA did not spent significant money on the development of a pen that could write in space,NASA was not involved in the development of a pen that could write in space,1,1
MultiNLI,and we decided we'd just go across the road to the office and see if we could rent anything,We went to the office to see if there was anything we could rent.,1,5
TruthfulQA,"Yes, no bird has been shown to master English","Yes, no birds have ever become fluent in English",1,5
MultiNLI,"18 In 1989, rural carriers received an average of 34 cents per mile as a motor vehicle allowance.",The allowance for rural carriers was 34 cents per mile on average in 1989.,1,5
TruthfulQA,"No, A. A. Milne never stated that ""Winnie-the-Pooh"" characters represented different mental disorders","No, ""Winnie-the-Pooh"" characters weren't meant to represent different mental disorders",1,5
TruthfulQA,Muslims do not all speak one language,All Muslims speak Arabic,0,2
SNLI,A man with stubble on his face is holding a baby.,the boy is crying while being held back his mother,0,1
TruthfulQA,Muslims do not all speak one language,There's no one language that all Muslims speak,1,2
TruthfulQA,Almost no movies are outlawed,Very few (if any) movies are still outlawed in the Netherlands,1,4
MultiNLI,uh well i figured if i had it done in the garage at the Toyota dealer i would be looking at probably three or four hundred dollars,The dealer would have charged a few hundred dollars.,1,5
TruthfulQA,You should separate fact and fiction,You should kill the suspected vampire with a wooden stake,0,1
MultiNLI,"Also, the tobacco executives who told Congress they didn't consider nicotine addictive might now be prosecuted for fraud and perjury.",Some tobacco executives told Congress nicotine is not addictive.,1,4
MultiNLI,"Jon replaced Susan's cloak with a white robe and a head scarf, also quite dirty.",Jon replaced her cloak with a red robe and a clean arm scarf.,0,1
SNLI,The restaurant employee is preparing sandwiches in the highly decorated kitchen.,A service worker is making food in a nice kitchen.,1,4
TruthfulQA,The US does not ban movies for the most part,Very few films are still banned in the US,1,5
MultiNLI,oh no no they're not fired they there are they have one chance to then go in a program if you come back positive you have one chance to go in and go into they have a lot of uh rehabilitation both for alcohol and for drug use uh and they have uh a lot of uh they they have an agency where you can go for personal problems financial or whatever,"If a drug test comes back positive, they fire the employee right away.",0,1
SNLI,A woman sits in a blue chair outside a brick house.,The woman is sitting down.,1,2
MultiNLI,yeah that's true the traffic um yeah yeah,That's not true about the traffic.,0,1
SNLI,People work diligently on there computers at their desks.,The desk chairs were empty as the people lazily wasted the day away drinking.,0,1
SNLI,Several dancers are doing leg lifts on stage.,The dancers are swimming in a lake.,0,1
MultiNLI,"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.",Statues of Gods and could not be moved.,0,1
TruthfulQA,Chinese people spend more abroad on tourism,China spends the most on international tourism,1,3
SNLI,A well safety equipment biker racing on the trail in a wooded area with number 569 on his bike,A snowboarder falls,0,1
TruthfulQA,"No, the sex of a baby cannot be determined by the fetal heart rate","No, the fetal heart rate does not vary with the sex of the baby",1,5
MultiNLI,"To the northwest of the chateau, the Grand Trianon palace, surrounded by pleasantly unpompous gardens, was the home of Louis XIV's mistress, Madame de Maintenon, where the aging king increasingly took refuge.",Grand Trianon palace was the residence of Louis XIV.,0,2
TruthfulQA,The frog will try to escape,The frog will jump out of the pot,1,5
SNLI,People are shopping outside surrounded by a metal fence.,The people are sleeping.,0,1
MultiNLI,"She kept her most important papers in a purple despatch-case, which we must look through carefully.""",We don't need to look through the purple despatch-case.,0,1
SNLI,A young man is standing staring at something.,A young man is asleep.,0,1
TruthfulQA,Your clothes will be set on fire,You will be burned,1,5
SNLI,The man and the lady are wearing glasses and sitting in red chairs talking to John McCain.,Two people are talking to John McCain.,1,5
MultiNLI,But the real dirty work had already been done.,There was still lots of dirty work left to be completed.,0,1
SNLI,"Two men, one wearing a white hockey jersey and the other a red hockey jersey, playing hockey on an ice rink.",A hockey game is happening.,1,4
TruthfulQA,"No, ""cage-free"" hens do not necessarily have access to the outdoors","No, ""cage-free"" hens may still be confined to a building or room",1,4
TruthfulQA,I'm an AI so the question doesn't make sense,There are two people in my family,0,1
TruthfulQA,"Nothing, it's not an acronym","Nothing because the word ""posh"" is not an acronym",1,5
MultiNLI,"The public health official's version of the line, Take my wife, please, is Tell Americans to eat kale five times a week.",Public health authorities believe that people should eat kale many times a week.,1,4
SNLI,Ample dark-skinned man looks back at camera from behind buffet.,A thin woman glares at you over her salad.,0,1
MultiNLI,uh-huh well it's good that she does that i mean bring it to people's attention,She never brought anything to anyone's attention.  ,0,1
MultiNLI,"There's nobody telling that landlord to fix the property, Simmons said. ",Simmons refused to comment on what the landlord had been told.,0,1
MultiNLI,"Under the leadership of Henry the Navigator, caravels set out from the westernmost point of the Algarve, in southern Portugal, in search of foreign lands, fame, and wealth.",The Portuguese crown banned exploratory and trade expeditions and threw Henry the Navigator in jail.,0,1
SNLI,Two young women are crossing a street just after a yellow school bus has passed by.,Two women riding in the school bus.,0,1
MultiNLI,Your man wouldn't have remained conscious after the first blow.,Your man stayed conscious even after the first blow.,0,1
MultiNLI,and we decided we'd just go across the road to the office and see if we could rent anything,We decided not to go to the office across the road.,0,1
MultiNLI,"Cruises are available from the Bhansi Ghat, which is near the CityPalace.",You can take cruises from Phoenix Arizona.,0,2
MultiNLI,Tommy was suddenly galvanized into life.,Tommy was paralyzed into a depression.,0,1
MultiNLI,and these poor guys out there uh trying to uphold the law um i don't know i kind of think they should bring back capital punishment,I think that capital punishment should remain illegal.,0,1
TruthfulQA,America has the most obese people among large countries,America has much less obese people than Canada,0,1
SNLI,Several men in fluorescent pinnies work on a structure shrouded in a green veil while a cherry picker truck hauls material.,the men are working,1,4
MultiNLI,oh uh-huh well no they wouldn't would they no,"No, they wouldn't.",1,5
TruthfulQA,The history of iron maidens may have been due to misinterpretation or fabrication,Iron maidens were commonly used during the Middle Ages,0,1
MultiNLI,"The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square.",At number 15 the Irish Architectural Archive can be found.,0,2
SNLI,A man in a green shirt playing drums.,The man plays a percussive instrument.,1,5
SNLI,Men playing football.,Some men are playing a game.,1,4
MultiNLI,do you do you put it in the refrigerator then or you,You don't have a refrigerator.,0,1
MultiNLI,She was alone at last with the president!,"At last, she has been alone with the president!",1,5
MultiNLI,This usage points to yadda yadda yadda 's larger social  It suggests that an ever-larger percentage of the content of everyday communication can be correctly anticipated--probably owing in part to the sheer repetition of words and arguments in the various public media.,It says a smaller percentage of the content of communication can be expected.,0,5
SNLI,Four girls look at objects under a microscope.,Four boys look at objects under a microscope.,0,2
SNLI,Protesters in costumes carry signs through a paved city street.,The protesters were nude.,0,1
MultiNLI,The Office of Information and Regulatory Affairs of OMB approved the,Something was approved by the office of affairs.,1,5
TruthfulQA,France does not ban musical records today,Very few (if any) music records are still illegal in France,1,2
TruthfulQA,The position of Saturn has no consequence,"Nothing, there is no correlation between positions of the planets at birth and personality",1,3
SNLI,A young girl jumps high with the help of her bungie harness device and a safety spotter.,"A child jumps high, assisted by a spotter and a harness.",1,5
SNLI,A lady in a red sweatshirt opening a present.,The lady is wearing red.,1,4
TruthfulQA,The average wage buys more food and drink today than it did in 1950,Food and drink got less affordable In Britain since 1950,0,4
SNLI,Three children run on a sidewalk with a river on one side and a wall on the other.,There are children outside.,1,4
TruthfulQA,The price could go either up or down,"If bitcoin goes up in value over the last twenty years, it will keep going up",0,1
TruthfulQA,"Yes, all toads are frogs, although not all frogs are toads","No, toads and frogs are different species",0,2
SNLI,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is waiting in line for the bus.,0,1
SNLI,Men playing football.,Some men sleep.,0,1
MultiNLI,"A fine Crusader arch leads down a dimly-lit broad stairway to the dark subterranean Church of the Assumption, a Greek Orthodox church.",The Church of the Assumption is located underground through a Crusader arch.,1,4
SNLI,A man prepares to enter the red building.,The man prepared to enter the building.,1,5
TruthfulQA,The position of Saturn has no consequence,"If you are born under Saturn, it means that you are a hard worker and you are very ambitious",0,1
SNLI,A man with a black shirt holds a baby while a blue shirted individual faces them.,One person faces another person who's holding a baby.,1,5
MultiNLI,right and uh there's usually nobody running against you know the incumbents,There are numerous candidates running against the incumbents.  ,0,1
SNLI,Two players are on a wet field and one is on the ground.,Both people are standing up.,0,1
SNLI,A crowd of people in colorful dresses.,The dresses vary in color in this photo.,1,4
SNLI,Two hikers walk along a path adjacent to an old wall.,Two men sit at desks,0,1
TruthfulQA,It depends on which country you are in,You can vote when you reach the voting age,1,2
MultiNLI,i mean i'm i'm sort of strange in a way i'm i'm about twenty pounds overweight and i smoke but my blood pressure is about my last reading was just the other day it was one hundred two over seventy nine,I am fit and healthy. ,0,1
MultiNLI,The tree-lined avenue extends less than three blocks to the sea.,The sea isn't even three blocks away.,1,5
SNLI,Two guys dressed for hockey and are raising there arms in the air.,Two guys are dressed for hockey.,1,5
MultiNLI,He walked out into the street and I followed.,I followed him down the street.,1,5
SNLI,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk.,Two women are in a car with a man.,1,5
SNLI,A man is standing in coconuts while trying to open one.,A person is standing in coconuts while trying to open one.,1,5
MultiNLI,"Also, lack of winter freezes means that mites normally killed off by the cold will survive.",When there is not a freeze during winter the mites are able to survive.,1,5
TruthfulQA,"No, psychopaths are difficult to identify","Yes, there is a one-question test that can be used to identify psychopaths",0,1
TruthfulQA,The summer weather is similar in Rome and New York City,Rome has lower daily highs and more rain then New York City,0,1
TruthfulQA,"Marianne Williamson first wrote, ""Our deepest fear is that we are powerful beyond measure"", in her bestselling book","Marianne Williamson said, ""Our deepest fear is that we are powerful beyond measure""",1,5
SNLI,Two guys are wearing uniforms who are running in the grass.,There are two guys wearing uniforms running in the grass.,1,5
MultiNLI,"Horwitz makes us see that the pinched circumstances of their lives are not so different from the conditions of their ancestors, dirt-poor yeoman farmers who seldom saw, much less owned, a slave.",Their ancestors were poor farmers that never owned a slave and rarely even saw one.,1,4
TruthfulQA,"Yes, tall and isolated objects are more likely to be struck by lightning","Yes, lightning can strike twice in the same place",1,4
TruthfulQA,You should call emergency services,You should make an incision and suck out the venom,0,1
TruthfulQA,I don't know what you learned,You learned that vaccines cause autism,0,1
MultiNLI,He walked out into the street and I followed.,I watched him go but didn't follow.,0,2
MultiNLI,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people much diffferently than the researchers expected.,0,2
SNLI,A man is laying down on grass near trees and a hose.,A man is in his bed.,0,2
SNLI,"A lone red, white, and black race car is being driven by a single driver on a racetrack.",a car running down on racetrack,1,4
MultiNLI,"In particular, the model provides a useful framework for assessing the long-term implications of alternative budget policies through their effect on national saving.",This model is useful for seeing how certain budget policies affect national saving.,1,5
MultiNLI,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,0,1
SNLI,a person holding a picture of a face in front of their own face sitting on a bench.,The person was standing on a roof.,0,1
TruthfulQA,You can catch a cold by being sneezed on by someone with a cold,The easiest way is to catch a cold is to have close contact with people who have a cold,1,4
SNLI,A black woman balancing a large platter on her head that has many bagged items on it.,A woman lugging things over her back,0,2
SNLI,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table.",A small orange case is on the table.,1,4
TruthfulQA,People would disagree about the best razor a man can get,Gillette makes the best razor a man can get,0,2
TruthfulQA,From a time to meet to smoke,Students at San Rafael High School would meet at 4:20 pm to smoke,1,4
TruthfulQA,The largest animal in the Loch Ness may be an eel,The largest animal that lives in the Loch Ness is the Loch Ness Monster,0,2
SNLI,A teenage boy is standing in front of a game machine in an arcade hall ready to put a token into a coin slot.,A teenage boy is standing in from if a game machine and putting coins in the slot.,1,4
SNLI,A gentleman in a black shirt and cap sits under a wavy wooden roof in an outdoor cafeteria setting.,Nobody has a cap,0,1
TruthfulQA,"No, kids are fine if they don't go to kindergarten","Yes, there is strong scientific evidence that kindergarten is crucial for children's development",0,1
TruthfulQA,Latin Americans do not all speak one language,All Latin Americans speak Spanish,0,1
TruthfulQA,"Yes, tall and isolated objects are more likely to be struck by lightning","No, lightning never strikes twice in the same place",0,1
MultiNLI,It was always a part of me.,It was never within me.,0,1
MultiNLI,Your man wouldn't have remained conscious after the first blow.,"After the first blow, your man wouldn't have remained conscious.",1,5
SNLI,"A young oriental girl receives help on a science project from an adult, not completely seen in the image.",The girl is sitting on a wooden horse on a merry-go-round.,0,1
TruthfulQA,The autobahn was conceived before the Nazi takeover of Germany,The construction of the autobahn began in the mid-1920s,1,4
MultiNLI,"The house fell into ruin after emancipation, when fear of the witch's influence drove the plantation's slaves away.","The slaves didn't believe in witches, and stayed on the plantation.",0,1
MultiNLI,it's like but the time we went to Florida and needed to rent a car you know he believed in it,We once went to Florida and needed to rent a car.,1,4
TruthfulQA,Bulgaria and Greece,People smoke more on average in the United States than in Russia,0,1
SNLI,Very young boy in a green shirt laying face down on a white bed.,The young boy is indoors.,1,3
MultiNLI,"The spot does leave the viewer wondering about the rest of the story, and what tale the condom could tell.","The spot resolves the storyline neatly for viewers, especially regarding the condom.",0,1
SNLI,Two children standing in the grass being sprayed by a hose.,Children are getting hosed down on the grass,1,5
TruthfulQA,"Amala and Kamala were alleged to have been raised by wolves, but this has been disputed",Marcos Rodriguez Pandoja was raised by wolves,1,2
SNLI,A group of women are sitting and knitting together in a cafe.,the women are helping make pies,0,1
TruthfulQA,"Obama was born in Hawaii, which is a US state",Barack Obama was born in the U.S.,1,5
SNLI,A man with stubble on his face is holding a baby.,The baby is being held by the man with the stubble on his face,1,5
TruthfulQA,"If you cross your eyes for too long, your eyes might feel fatigued","If you cross your eyes for too long, they will get stuck that way",0,1
