premise,correct,incorrect,pos_sim_M,neg_sim_M,pos_sim,neg_sim
The analyses comply with the informational requirements of the sections including the classes of small entities subject to the rule and alternatives considered to reduce the burden on the small entities.,The analyses try to follow informational requirements for relevant small entities.,There is no need for the analyses to attempt to meet any informational requirements.,0.9779629707336426,0.09838911890983582,0.9789987802505493,0.016702473163604792
"Among the sights in Beziers are the ancient Eglise Saint Jacques and Eglise Sainte Madeleine, the 19th-century Halles (covered market), and the massive Cathedrale Saint-Nazaire, from which there is a good view over the river valley.","There are many sights to see in Beziers, including the Cathedrale Saint-Nazaire.",There is nothing interesting about Beziers because there's really nothing to see.,0.9423540532588959,0.15710026025772095,0.9992016553878784,0.03695830702781677
they're almost five hundred a month for a one bedroom place,Rent is close to five hundred dollars a month just for a one bedroom.,There aren't any one bedroom apartments.,0.9877330660820007,0.5918281972408295,0.9962829053401947,0.035716146230697576
"The Balanced Scorecard Institute is a web clearinghouse for managers to exchange information, ideas, and lessons learned in building strategic management systems using the balanced scorecard approach.",Managers can exchange ideas and information about management systems on the Balanced Scorecard Institute website.,The Balanced Scorecard has recently closed due to a lack of interest.,0.9796891212463379,0.18502205610275269,0.9943925142288208,0.034299612045288086
There are many such at the present time.,Currently there are many.,There are none at all.,0.9896489679813385,0.036616563796997015,0.974196195602417,0.014189213514328003
Be forewarned that the download takes quite a while via modem.,This will take a long time to download onto your computer if you have a modem.,A modem download of this program should take no time at all.,0.8474427163600922,0.4276707097887993,0.9954260587692261,0.03596577048301702
Dole : We ought to agree that somebody else should do it.,Someone else needs to do it.,We don't agree that anyone should do it.,0.9674408435821533,0.1474820375442505,0.9930678606033325,0.03378540277481079
"Recently, however, I have settled down and become decidedly less experimental.","Lately, I have not been as wild and curious as I used to be.","I am still as experimental as ever, and I am always on the move.",0.7020552903413773,0.1002320647239685,0.9753419458866119,0.016120135784149225
It is constrained by laws and regulations formulated by Congress over more than two centuries.,The regulations were created over the course of more than two hundred years.,There are no laws constraining it.,0.8715593218803406,0.07658463716506958,0.9982759356498718,0.0394744873046875
"And here, current history adds a major point.",A major point is added by current history.,Current history doesn't add any points to it.,0.9937765896320343,0.09586185216903687,0.9984827041625977,0.039816647768020574
Tourist Information offices can be very helpful.,One can often get help at Tourist Information offices.,Tourist Information offices are never of any help.,0.92822265625,0.13439851999282837,0.9853301644325256,0.02789229154586792
"He wanted silk and encouraged the Dutch and British as good, nonproselytizing Protestants just interested in trade.",He made out the British and Dutch to be just interested in trading.,He had no interest in silk or trading.,0.844227135181427,0.2016216218471527,0.965429961681366,0.008038371801376398
"Cultural transitions of major organizations are never easy to accomplish, and I would certainly not claim that it will be easy for GAO.",It's never easy to complete cultural transitions in major organizations.,GAO will likely have an easier time achieving cultural transitions than other organizations of similar size.,0.9830024242401123,0.3012351393699646,0.9758262932300568,0.019117116928100586
uh-huh well it's good that she does that i mean bring it to people's attention,It is good that she brings it to people's attention.  ,She never brought anything to anyone's attention.  ,0.96137535572052,0.07585716247558594,0.9688484072685242,0.01229268312454218
"Also, under credit reform, the credit subsidy cost is recorded as an outlay when a direct or guaranteed loan is disbursed.","When a direct loan is disbursed, the credit subsidy cost will be recorded as an outlay under the reform.",The credit subsidy cost is never recorded as an outlay under any circumstances.,0.9412534832954407,0.06078612804412842,0.9940440654754639,0.037644773721695
Beyond the facade there are cavernous empty rooms.,There are large empty rooms past the entry.,The rooms past the facade are cluttered with furniture.,0.973416805267334,0.3572090119123459,0.9816690683364868,0.02579653263092041
"You wonder what youre going to be when you grow up, lawyer Smith said. ","The lawyer, Smith, pointed out that you wanted to know what you would be when you grew up.",You have no dreams for the future.,0.9773937463760376,0.1004493236541748,0.97874715924263,0.023269027471542414
"Most large hotels will have a floorshow featuring music and dance, including a voluptuous belly-dancer, who will introduce the audience to the art of gyrating Egyptian style.",The audience will be introduced to the art of Egyptian style gyrating by a belly-dancer.,Belly-dancers have been banned from the floor shows. ,0.9319703578948975,0.0899309515953064,0.9913394749164581,0.03698033094406128
In the small marina you can eat while surrounded by expensive boats.,In the marina is where you can eat while being around expensive boats.,There are no boats in the small marina.,0.9861877262592316,0.29539065062999725,0.990879476070404,0.03663146495819092
The fine weave and pattern are typical of a Scottish weaver's attention to detail.,"Scottish weavers are known for their attention to detail, exemplified through the fine weave and pattern.",There is nothing in the garment that could suggest any attention to detail.,0.9165107607841492,0.23806658387184143,0.9924153685569763,0.03832846879959101
the the Iranian borders are still open uh from what i understand understand um,From what I know the borders of Iran are still open.,The borders of Iran are closed.,0.9317855536937714,0.18689921498298645,0.9672383666038513,0.013644009828567505
"I had rejected it as absurd, nevertheless it persisted. ",It persisted even after I rejected it as an absurdity.,It persisted after I welcomed it as sensible.,0.9964392781257629,0.06735461950302124,0.9971639513969421,0.043834745883941595
The Department of Labor's interim rule is adopted pursuant to the authority contained in Section 707 of the Employee Retirement Income Security Act (Pub.,The Department of Labor's interim rule is adopted pursuant to the authority contained in Section 707.,The interim rule has no relation to section 707.,0.9810128211975098,0.061731040477752686,0.9608777463436127,0.0077062249183654785
This is arguably starting to distort the practice of science itself.,This began to distort scientific practice. ,The practice of science remained exactly the same.,0.9897301197052002,0.07029598951339722,0.9979498982429504,0.045164525508880615
um-hum yeah i know what that's like uh-huh,I am familiar with what that is like.,I have no idea what that is like.,0.9583053588867188,0.052647292613983154,0.9812055230140686,0.028709650039672796
It is nice to be reminded that people remember.,It is nice that people remember.,No one cared or remembered.,0.9934335947036743,0.1692812442779541,0.9770146906375885,0.024599462747573797
an d now we got the governor she's going to do that,"We have a female governor now, and she is going to go through with it.","Now we have the governor, there is no way she is going to do it.",0.8877792954444885,0.056159913539886475,0.9982547163963318,0.04636567831039429
yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,I think that makes them feel like outsiders but on the other hand they do receive a lot of tax benefits. ,"They definitely feel included, but they don't have any tax benefits. ",0.968731015920639,0.2042602300643921,0.981294572353363,0.029487788677215576
"In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.",Dinard maintains a Victorian sensibility while also including luxury elements.,Dinard does not have a public swimming pool.,0.9189472198486328,0.4337886720895767,0.9724457561969757,0.021065860986709595
"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",There is an old woman in the village that I have been visiting. ,I don't know anyone in the village. ,0.9726735949516296,0.08590579032897949,0.9817752540111542,0.030460774898528997
"aChange in personal saving depends on how much of the $4,000 IRA contribution represents new saving.",Change in personal savings is dependent on how much the IRA contributes to the new saving,The IRA contributes nothing to saving,0.947798103094101,0.08554673194885254,0.9985681474208832,0.047482132911682184
They even smiled at Susan and she smiled back.,"They smiled at Susan, who in turn smiled back at them.",They frowned at Susan.,0.9929753243923187,0.032339304685592596,0.992395430803299,0.0414686799049378
yeah that's a nice place,It's a location I enjoy being at. ,It's awful and has no redeeming qualities. ,0.9795327484607697,0.032199263572692816,0.9963108599185944,0.04557633399963379
"For a review of the literature, see William G. Gale and John Sabelhaus, Perspectives on the Household Saving Rate, Brookings Papers on Economic Activity (1:1999), pp. 181-224.","References used in this instance include Gale/Sabelhaus, Perspectives on the Household Saving Rate, which is available for review.",No literature was used in this instance.,0.9832809865474701,0.06280553340911865,0.9880384206771851,0.03776472806930542
"It has long been influenced by their differing traits, and has assimilated their various customs and practices.",Their unique traits has created many customs and practices.,Their different traits have had no impact on any cultures.,0.9980746507644653,0.15624159574508667,0.9986042380332947,0.049004763364791815
um-hum um-hum um-hum yeah yeah it is i don't know i think it's a very interesting um discussion you know and and there's certainly uh lots of pros and cons around it,This discussion is intriguing and great points have been made.,The discussion was very bland to me.,0.9307253956794739,0.1825118064880371,0.9916333556175232,0.042628794908523615
it takes so much i mean it's like of course it does i mean by the times it transforms into Wave by mark off model and you put it in there and you want to correct those and then you know you're trying to make the the Wave smooth so you can approximately of course it's going to take a lot,It takes a lot of spirit to do it.,It does not take anything.,0.9504580497741699,0.1152404248714447,0.9753697514533997,0.026442140340804998
"What a lot of bottles! I exclaimed, as my eye travelled round the small room. ","""What a lot if bottles!"" I exclaim. ",There wasn't a single bottle. ,0.9633020758628845,0.0709753930568695,0.9979349970817566,0.049013316631317194
And environmentalists have on occasion attacked religion for promoting human domination over the natural world., And environmentalists have on occasion attacked religion.,Environmentalists have never attacked religions.,0.8360944390296936,0.06729722023010254,0.9960507154464722,0.047353953123092596
"oh, just about nothing.",Nearly nothing at all.,"Yes, there is a ton.",0.9950898885726929,0.10285764932632446,0.9836931824684143,0.035581439733505194
"No one was there, no bones at all.",Nothing was left from the body.,There were many bones in a pile.,0.9930410981178284,0.10910949110984802,0.9582062065601349,0.010759979486465399
Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) :,Bud White and Ed Exley almost mix it up.,Bud White has never been a cop.,0.9893177151679993,0.05471724271774292,0.9997212290763855,0.052573204040527344
"In the meantime we must send for a doctor, but before we do so, is there anything in this room that might be of value to us?"" Hastily, the three searched.",The three searched for valuable items before sending for a doctor.,The three chose to send for a doctor and ignore the alluring potential treasures.,0.9317011833190918,0.036403119564056396,0.9804968535900116,0.03362554311752319
"Regulation M is adopted under the Securities Act, 15 U.S.C.","Securities Act, 15 U.S.C is related to Regulation M.",Regulation M is not related to any act.,0.8173552751541138,0.08563554286956787,0.9947883784770966,0.04793325066566462
are uh very few and then the other people just plan it you know it's like it's like have you have have you ever seen the commercial like for Federal Express where the with uh the think tank,Federal Express has a commercial with a think tank.,I have never seen a Federal Express commercial.,0.9786022305488586,0.08605989813804626,0.9966296553611755,0.05017957091331482
Brit  Now that would be a good debate!,They would debate well.,That would be a horrible debate.,0.9452123641967773,0.2268732786178589,0.9901293516159058,0.04377704858779902
Technological advances generally come in waves that crest and eventually subside.,Advances in technology usually ebb and flow.,There have been no new developments to technology.,0.9283128976821899,0.1243806779384613,0.9960862696170807,0.05015528202056885
um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,"If something is far from your house does it matter to you, is location important to you?",That sounds really stupid. ,0.8943321704864502,0.21701842546463013,0.9721888899803162,0.026540488004684393
He had to try something.,The man had to try and do something. ,He didn't need to try anything.,0.9864159524440765,0.18233206868171692,0.9997895956039429,0.05425834655761719
Total volume grew 13.,There was an increase in volume of 13.,Overall volume decreased.,0.26165468990802765,0.7688890993595123,0.9982443749904633,0.05294382572174072
Many who fled have returned.,Lots of then came back.,They all ran and never looked back.,0.7830561995506287,0.21051698923110962,0.955010861158371,0.0100785493850708
The chain wielder smiled at her.,The chain wielder was smiling.,The chain wielder frowned at her.,0.9457687139511108,0.055944234132766724,0.9998937547206879,0.05540379881858826
yes i've had a German Shepherd that did that one time,I had a German Shepherd that once did that.,I have never had a pet dog in my entire life.,0.9126989245414734,0.041187226772308405,0.9987116754055023,0.05433925986289978
The large scale production of entertainment films is a phenomenon well worth seeing several times.,The production of entertainment films is elaborate and large scaled.,The production of entertainment films can be dull.,0.9732654690742493,0.1872064769268036,0.9808588624000549,0.036504387855529785
made by the FCIC based on such comments are discussed in the preambles to the final rules.,Discussed in the preamble are comments based on FCIC.,There is no preamble to the end rules. ,0.9169047772884369,0.10208368301391602,0.990919291973114,0.04694834351539612
now that's an interesting point yeah i mean once the expectations are,I believe that is a very interesting point.,I did not find anything interesting at all.,0.9773425161838531,0.1066056489944458,0.9716307818889618,0.027881920337677002
Lewis brought to the campaign the same intensity he had trained upon redneck troopers and sheriffs.,The same intensity as trained upon redneck troopers and sheriffs has been brought to the campaign by Lewis.,Lewis didn't bring anything to the campaign.,0.9867905676364899,0.11216616630554199,0.9890265464782715,0.04604154825210571
"Vaikuntaperumal is a Vishnu temple of the same period, famous for its elevated colonnade of lively sculpted reliefs showing the many exploits of the Pallava kings.",The sculpture reliefs in the Vishnu temple depict stories about the Pallava kings.,The sculpture reliefs in the temple depict only mythological characters.,0.9206679463386536,0.11209344863891602,0.9873520135879517,0.04505741596221918
"In the final rule, HCFA revised certain regulations pertaining to the costs of graduate medical education programs to conform to a recently enacted statute.",Regulations were revised by HCFA pertaining to the costs of graduate programs.,HCFA never revised any regulations for any programs.,0.9893811941146851,0.06278413534164429,0.9963864982128143,0.054276883602142334
"Ah, ma foi, no! replied Poirot frankly. ",Poirot disagreed with me. ,Poirot agreed with what I just said. ,0.9159558713436127,0.13450556993484497,0.9934560656547546,0.05147215723991394
"Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.","Fresh products of Irelands seas, rivers, and farms are what New Irish Cuisine is built upon.  ",Restaurants and cuisine are sorely absent in Dublin,0.9729074835777283,0.057303428649902344,0.9956842064857483,0.05391603708267212
"Next, you enter the vast and splendid Imperial Hall, with three handsome marble fountains, and a canopied throne from which the sultan would enjoy the music and dancing of his concubines.",The Imperial Hall houses three marble fountains.  ,There are no fountains in the Imperial Hall at all.  ,0.766507089138031,0.16651999950408936,0.9793408215045929,0.03786370158195501
"The Honorable Bill Archer, Chairman The Honorable Charles B. Rangel Ranking Minority Member Committee on Ways and Means House of Representatives",Bill Archer is a member of the House of Representatives.,Bill Archer has never held government office in his entire life.,0.5773055776953697,0.12012284994125366,0.9850649833679199,0.04405760765075678
"When Mr. Hastings and Mr. Lawrence came in yesterday evening, they found your mistress busy writing letters. ",Your mistress wrote letters last night.,Last night no one saw your mistress.,0.68246129155159,0.12042236328125,0.9609110951423645,0.020106136798858587
it'll be a nice little bit of money we're going to,We are going into a nice bit of money.,We are not going to make any money on new venture.,0.9774298667907715,0.15535828471183777,0.97259920835495,0.03192871809005737
"experiencing cost growth, manufacturing problems with test aircraft, and testing delays.",Manufacturing problems with test aircraft is experiencing cost growth.,There are no cost growths associated with testing aircraft. ,0.9573940336704254,0.026647597551345825,0.9713591933250427,0.030911326408386175
"To help identify solutions to this problem, Senators Fred Thompson and John Glenn, Chairman and Ranking Minority Member, respectively, of the Senate Committee on Governmental Affairs, requested that we study organizations with superior security programs to identify management practices that could benefit federal agencies.",Senators Fred Thompson requested the study to benefit federal agencies.,There are no problems in the security of federal agencies. ,0.9599094986915588,0.053723037242889404,0.9991111755371094,0.05871427059173584
"Little is recorded about this group, but they were probably the ancestors of the Gododdin, whose feats are told in a seventh-century Old Welsh manuscript.",Gododdin's accomplishments have been recorded in a Welsh manuscript.,Gododdin's deeds were never written down because it was to be passed down only orally. ,0.9484966993331909,0.052958786487579346,0.9562217593193054,0.0160916149616242
"In 1995 and again in 1998, the Legal Services Corporation recognized that legal services programs were going to have to change the method and manner in which they conducted their business if they were going to remain viable and responsive to the needs of low income persons.",The Legal Services Corporation realized things had to change more than once in the past.,The Legal Services Corporation has never considered the needs of the poor.,0.9893555641174316,0.08221668004989624,0.98859041929245,0.04874491691589361
"The burden of his spiritual functions as high priest of Shinto and the tasks of administration led the emperor to welcome an early abdication, frequently to retire to a life of Buddhist meditation and scholarship.","The emperor was exhausted by his religious and political obligation, and abdicated early.",The emperor loved his political duties and refused to abdicate.,0.963780015707016,0.1696273684501648,0.960786372423172,0.02096310257911682
right just get you away from the everyday things that are going on we when the children were smaller we used to go to uh Delaware along the ocean ocean most every year and that was fun we stayed mostly in state parks and uh we really enjoyed that,"When we went to Delaware, we would usually see the ocean.",We didn't enjoy staying in the state parks.,0.8469655513763428,0.42996762692928314,0.9451390206813812,0.0055400133132934015
"In both Britain and America, the term covers nearly everybody.",In both Britain and America the term covers almost everyone.,In both Britain and America the term fails to cover anyone.,0.9891077876091003,0.15219354629516602,0.9526243209838867,0.013345241546630804
oh constantly,Constantly,Rarely,0.48293667100369936,0.2795620262622833,0.9742308557033539,0.03556573390960699
yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,We do not have to go to anymore counseling because they say everything is positive. ,0.9872094988822937,0.12502509355545044,0.9838464558124542,0.0453901588916778
"The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.",They were weapons used to kill.,They were fragile and could not leave a scratch. ,0.9810629487037659,0.3077578544616699,0.9419472217559814,0.003676533699035589
"From here it's all through the charming hillside village of Saint-Claude, with its upper-income homes, and on toward the summit or as far as the gendarmes are allowing traffic to proceed that day.",The charming hillside village of Saint-Claude has many upper-income homes.,The gendarmes pay no attention to the flow of traffic.,0.9851988255977631,0.13354632258415222,0.9920374155044556,0.05382037162780762
"Relationship Between Quality of Life Instruments, Health State Utilities, and Willingness to Pay in Patients with Asthma.","The relationship between quality of life instruments, health state utilities and willingness to pay patients with asthma. ",There is no relationship between willingness to pay or quality of life instruments. ,0.9848058819770813,0.2058296799659729,0.9915957450866699,0.053706467151641846
"Many are based on industry-recognized models such as the Constructive Cost Model (COCOMO), PRICE, Putnam, and Jensen.",Many are said to be based on models such as the Constructive Cost Model.,None of the models are based on the industry-recognised ones.,0.9804475903511047,0.08124366402626038,0.9982402324676514,0.06044110655784607
There is.,There sure is.,There never was.,0.9323991537094116,0.08124619722366333,0.993400514125824,0.056018680334091187
There are also dozens of fabulous pictures.,Additionally we have many great pictures.,I'm sorry. We do not have any pictures to show you at this time.,0.9889440834522247,0.06095781922340393,0.9977022409439087,0.060539960861206055
"Yes, you've done very well, young man.","Yes, you have a done a great job, young man.","No, you have not done very well.",0.9907079041004181,0.060095399618148804,0.9896622598171234,0.05253511667251587
yeah okay you go ahead,"Yeah, you go ahead, okay. ","No, do not go ahead.",0.9984201490879059,0.15131980180740356,0.994544267654419,0.05753570795059204
"Lavishly furnished and decorated, with much original period furniture, the rooms are used for ceremonial events, visits from foreign dignitaries, and EU meetings.","The rooms are opulent, and used for formal, elegant events.","The rooms are drab, dull, and not elegantly appointed.",0.9428343176841736,0.1422003209590912,0.9899936318397522,0.05303540825843811
The interim rule was reviewed by INS and EOIR under Executive Order,The interim rule went through some review.,The interim rule did not pass through any review.,0.9365924596786499,0.13658952713012695,0.9745055437088013,0.0386746227741242
The materials then are searched for counterevidence and subsidiary or branching paths are laid out.,Subsidiary or branching paths are laid out after the materials are searched for counterevidence.,No materials are searched for counterevidence.,0.9974085092544556,0.0864357054233551,0.9948402643203735,0.05913397669792175
yeah uh-huh oh yeah petting zoos and things,Petting zoos and things related.,Nothing related to petting zoos.,0.9532562494277954,0.06414535641670227,0.9713731408119202,0.03572097420692438
"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",The cost of work and the value of improved service would be considered in this situation.,No consideration will be given to the cost of doing the work in this case.,0.9978732168674469,0.16590601205825806,0.999379962682724,0.06414356827735901
" Dinghies are available for hire from the marinas at Tel Aviv, Jaffa, Akko, Netanya, and Nahariya.","Dinghies are rent-able for the marinas at Tel Aviv, Jaffa, Akko, Akko, Netanya, and Nahariya.","Tel Aviv, Jaffa, Akko, Akko, Netanya, and Nahariya offer no dinghies.",0.9846563935279846,0.6112139225006104,0.9859184622764587,0.05159115791320801
"than the passage of time, the rate of inflation, or geographic location, as so often is the case today.","Factors include the passage of time, the rate of inflation, or geographic location.",This is never the case today.,0.9965240657329559,0.07148498296737671,0.9817253053188324,0.04746037721633911
Two of them saw Thorn coming.,Thorn was seen coming by two of them.,Nobody saw Thorn coming.,0.9954924583435059,0.08678317070007324,0.9927414357662201,0.058609336614608765
I was deeply impressed by the power and eloquence of the counsel for the defence.,I thought that the counsel for his defence displayed power and eloquence.,The counsel for his defence did not impress me in any way.,0.9739348590373993,0.11456817388534546,0.9840173125267029,0.05005103349685669
yeah yeah you know we're kind of that way too i try to i'm the same way you are i kind of try to judge from day to day i know you know where i am we work a lot with the customers and we have a lot of government folks come in all the time and,We tend to deal with several customers as well as government staff.,We've never had a visit from someone from the government.,0.9907967746257782,0.07390263676643372,0.9983224868774414,0.06468218564987183
